Idiom (Friulian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Friulian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Cjapâ il tor pai cuars,Locuzion verbâl fisse cun infinitîf transitîf,Affrontâ une situazion dificile cun coraç e decision,Affrontâ il probleme diretementri,B2,"Lavôr, politiche, conflicts personâi","Colloquiâl, figurât, determinât",Espression rurâl leade ae vite contadine e ai animâi di stale,/tʃaˈpa il tor paj ˈkwars/,Il sindic al à cjapât il tor pai cuars e al à spiegât dute la veretât.,"Dopo agns di pôre, e je rivade a cjapâ il tor pai cuars.","Se no cjapìn il tor pai cuars cumò, il probleme al cresarà ancjemò."
Menâ il cjâf pal mont,Locuzion verbâl cun complement di lûc metaforic,Confondi une persone cun promessis o peraulis falsis,Ingjanâ o confondi cualchidun,B1,"Relazions, discussions familârs, satire","Ironîc, colloquiâl",Difondude in Friûl centrâl tes conversazions popolârs,/meˈna il cjaːf pal mont/,Chel vendidôr al menave il cjâf pal mont ai clients plui anzans.,No sta a menâmi il cjâf pal mont cun scusis improbabilis.,La campagne eletorâl e à menât il cjâf pal mont a masse int.
Vê il fûc sot la cinise,Costruzion cun verb vê + sintagme metaforic,Tignî rabie o passion platade che e pues esplodi,Vê emozions fortis no mostrades,C1,"Literature, psicologjie, relazions","Poetic, intens",Imagjin leade al fûc domestich des cjasis furlanis,/ve il fuːk sot la tʃiˈnize/,"Parève calme, ma al veve il fûc sot la cinise.",Inte assemblee duti a savevin che il paîs al veve il fûc sot la cinise.,La sô vôs basse e faseve sintî il fûc sot la cinise.
No vê ni cjâf ni cuee,Frase negative cun coordenazion nominale,Jessi cence sens o logjiche,Jessi confusionari o mal fat,A2,"Scuele, comentaris, vite cuotidiane","Colloquiâl, critic",Presint ancje in altris lenghis romanichis cun variants similârs,/no ve ni cjaːf ni ˈkweːe/,Chel articul al nol veve ni cjâf ni cuee.,La tô spiegazion no e à ni cjâf ni cuee.,"Dopo trê oris di discussion, il progjet al jere cence cjâf ni cuee."
Lassâ cori l’aghe sot il pont,Locuzion verbâl cun infinitîf e complement metaforic,Lassâ passâ il timp par calmâ un conflit,Spietâ prime di tornâ sul argoment,B2,"Familiis, diplomazie, amiciziis","Riflessîf, conciliant",Leade ai flums e ai pîts storics dal Friûl,/laˈsa koˈri laːɡe sot il pont/,"Prime di tornâ a fevelâ, o vin lassât cori l’aghe sot il pont.","Par sanâ la frature, al covente lassâ cori l’aghe sot il pont.","Dopo la lite, la famee e à decidût di lassâ cori l’aghe sot il pont."
Jessi plui indenant dal soreli,Comparative idiomatiche cun avierbi di superioritât,Crodisi masse inteligjent o furbo,Pensâ di savê plui di ducj,C1,"Umorisim, satire sociâl, discussions","Sarcastic, ironîc",Espression popolâr che e ironize su la superbe,/ˈjesi plu indenan dal soˈreli/,Al faseve il sapienton come se al fos plui indenant dal soreli.,No sta a fâ il fenomen: nissun al è plui indenant dal soreli.,La sô maniere arrogante e lu faseve someâ plui indenant dal soreli.
Tignî botte,Locuzion verbâl curtie e fisse,Resisti aes dificoltâts cun fuarce,Resisti e continuâ,A1,"Sport, vite personâl, lavôr","Informâl, incoragjant",Espression largje tal lengaç quotidian furlan,/tiɲi ˈbote/,"Malgrât lis critichis, e à tignût botte fin ae fin.",O vin di tignî botte intun moment tant dificil.,Il zovin atlet al à tignût botte par dute la gare.
Vê il music sul stomi,Costruzion metaforiche cun part dal cuarp,Provâ fastidi o nervosisim,Jessi infastidît,B1,"Vite cuotidiane, relazions, umôr","Colloquiâl, vivid",Tipiche imagjin corporee dal lengaç popolâr,/ve il muˈzik sul ˈstomi/,"Dopo une zornade cussì, o ai il music sul stomi.",La confusion dal trafic i meteve il music sul stomi.,"Cuant che al sintive chê cançon, al veve il music sul stomi."
Cjaminâ sui guscj d’ûf,Locuzion verbâl metaforiche,Agjî cun grande prudence par no creâ problems,Jessi unevore prudent,B2,"Politiche, diplomazie, relazions delicadis","Figurât, prudent",Leade ae fragjilitât dai ûfs inte culture rurâl,/tʃamiˈna suj ɡusk duf/,Inte tratative internazionâl ducj a cjaminavin sui guscj d’ûf.,"Par no ofindi la none, o ai cjaminât sui guscj d’ûf.",Il gjornalist al à cjaminât sui guscj d’ûf tal tocâ il tematic sensibile.
Fâ di dute une jerbe un fas,Frase verbâl proverbiale,Meti duti inte stesse categorie cence distinzions,Generalizâ in maniere injuste,B1,"Debats sociâi, educazion, media","Critic, proverbâl",Proverbi agricul derivât dal mont contadin,/fa di ˈdute une ˈjerbe un fas/,No sta a fâ di dute une jerbe un fas cui zovins.,Il comentadôr al faseve di dute une jerbe un fas su lis comunitâts forestis.,Fâ di dute une jerbe un fas al puarte dome prejudizis.
