Idiom (Hixkaryana),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hixkaryana)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kamaro yano txowaka,Fixed verbal clause with metaphorical predicate,To act too late after a problem has already grown,Responding after the damage is already done,B2,"Daily speech, family advice, politics","Colloquial, ironic",Linked to river travel delays during seasonal floods along the Nhamundá,/ka.ma.ɾo ja.no tʃo.wa.ka/,"Kamaro yano txowaka, wya toto komo.",Inyako kamaronyo yano txowaka naha.,Yamrye kamaronyo yano txowaka mehnaka.
Woska heno ryerye,Nominal phrase with descriptive reduplication,Someone who talks constantly without listening,A person who speaks excessively,B1,"Humor, family conversations","Humorous, informal",Associated with storytelling gatherings in communal houses,/wos.ka he.no ɾje.ɾje/,"Woska heno ryerye naha, tono yamtxhe.",Kaynaha woska heno ryerye komo.,Ryerye naha woska heno txemtxe.
Toto mehnaka yoro,Verb phrase with aspectual emphasis,To hide one's true intentions,Concealing real motives,C1,"Politics, negotiations, leadership","Formal, strategic",Traditionally used during intercommunity negotiations,/to.to meh.na.ka jo.ɾo/,Toto mehnaka yoro naha txe.,Yamrye toto mehnaka yoro komo.,Naha toto mehnaka yoro yamtxhe.
Yahtho komo raxe,Fixed imperative-like expression,To stop worrying about uncontrollable matters,Let the situation resolve naturally,A2,"Family advice, friendship","Warm, reassuring",Derived from observing river currents and patience during fishing,/jah.tʰo ko.mo ɾa.ʃe/,"Yahtho komo raxe, yowto naha.",Komo raxe naha yahtho txe.,Inyako yahtho komo raxe mehnaka.
Merye xekto horye,Metaphorical descriptive clause,A person pretending to be brave while afraid,Acting confident despite fear,B2,"Humor, teasing, storytelling","Sarcastic, playful",Common in hunting stories among elders,/me.ɾje ʃek.to ho.ɾje/,Merye xekto horye naha yamo.,Kaynaha merye xekto horye txe.,Yorye naha merye xekto horye.
Heno yamtxhe ryako,Predicate clause with motion metaphor,To exaggerate a simple event dramatically,Overstating a situation,B1,"Daily speech, gossip","Ironic, colloquial",Related to oral storytelling exaggeration traditions,/he.no jam.tʃʰe ɾja.ko/,Heno yamtxhe ryako naha.,Ryako naha heno yamtxhe txe.,Komo heno yamtxhe ryako mehnaka.
Wya toto hnoro,Compressed nominal metaphor,Someone emotionally distant from others,A detached or cold person,C1,"Literature, emotional discourse","Poetic, melancholic",Inspired by imagery of isolated forest paths,/wja to.to hno.ɾo/,Wya toto hnoro naha txe.,Yamrye wya toto hnoro komo.,Hnoro naha wya toto yamtxhe.
Kaynaha yoro txemtxe,Rhythmic reduplicated expression,To repeat the same mistake continuously,Failing to learn from errors,A2,"Parenting, education","Corrective, informal",Used by elders when teaching younger generations,/kaj.na.ha jo.ɾo tʃem.tʃe/,Kaynaha yoro txemtxe naha.,Txemtxe naha kaynaha yoro komo.,Yoro txemtxe naha yamtxhe.
Raxe merye hnaka,Metaphorical predicate structure,To avoid responsibility intentionally,Refusing to take responsibility,B2,"Workplace, politics","Critical, formal",Used in communal labor disputes historically,/ɾa.ʃe me.ɾje hna.ka/,Raxe merye hnaka naha txe.,Komo raxe merye hnaka yoro.,Merye hnaka naha raxe yamtxhe.
Yowto ryerye komo,Fixed conversational idiom,To calm tension through humor,Using jokes to ease conflict,C2,"Conflict resolution, gatherings","Humorous, diplomatic",Associated with ceremonial mediation and oral diplomacy,/jow.to ɾje.ɾje ko.mo/,Yowto ryerye komo naha.,Ryerye komo naha yowto txe.,Komo naha yowto ryerye mehnaka.
