Idiom (Tonga),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tonga)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kusenda mbuli kumbele lyabbala,Infinitive verb phrase with object; metaphorical motion clause,To rush into speaking or acting before thinking,Kucita cintu cakufwambaana utanayeeya,B2,"daily speech, family advice, workplace discussions","colloquial, advisory",Pastoral imagery of goats running ahead of a herd causing disorder,/ku.sen.da ᵐbu.li ku.mbe.le lja.bːa.la/,"Tawe, walikusenda mbuli kumbele lyabbala, toyeyi cintu coonse.",Bamwi balikusenda mbuli kumbele lyabbala mu nkani zya muunzi.,Mukwesu wangu uyo ulakusenda mbuli kumbele lyabbala lyonse.
Kukomba maano kumbele aa bantu,Verb phrase with object complement,To pretend to be wise in front of others,Kulibonya mbuli uli aa busongo,B1,"humor, politics, social critique","ironic, humorous",Village assemblies where speakers sometimes exaggerate wisdom,/ku.ko.mba maː.no ku.mbe.le aː ba.n.tu/,Wakomba maano kumbele aa bantu pele tabaambi kuti waziba.,Abana bamwe balakomba maano kumbele aa balo.,"Utakombi maano kumbele aa bantu, baakuziba."
Kulya mwoyo,Verb + object idiomatic phrase,To feel deep worry or distress,Kuba aa kuzungaala kumoyo,A2,"family talk, emotional conversation","neutral, expressive",Heart as metaphorical seat of worry in Tonga thought,/ku.lja mwo.jo/,Ndilakulya mwoyo nkaambo mwana wangu taloolekwi.,Baama balakulya mwoyo nkaambo aa mapenzi aa muunzi.,"Taulye mwoyo, cili kabotu."
Kufumbwa munwe mu mulilo,Verb phrase with locative complement,To get involved in risky matters,Kweenda mu buleya bwa ngozi,B2,"warnings, politics, disputes","serious, advisory",Cooking fire metaphor where touching flame causes harm,/ku.fu.mba mu.nwe mu mu.li.lo/,Utaufumbwi munwe mu mulilo aa nkani eeyo.,Uyo wafumbwa munwe mu mulilo mu milandu ya bantu.,Bamwi balafumbwa munwe mu mulilo pele tabeezi.
Kukaka bbala,Verb phrase with direct object,To firmly reject someone's statement,Kulambaula kuti taubvumi,A2,"daily speech, disagreements",neutral,Traditional debate and mediation culture,/ku.kaː.ka bːa.la/,Wakaka bbala lyangu kumbele aa bantu.,Tauli kukaka bbala lyakwe pe.,Bantu bamwe balakaka bbala lya mukubusi.
Kusekelela mu mutima,Verb phrase with metaphorical location,To secretly feel happy,Kukondwa pele utakweciyandisya,B1,"social life, storytelling",reflective,Value of emotional restraint in Tonga etiquette,/ku.se.ke.le.la mu mu.ti.ma/,Ndilakusekelela mu mutima nkaambo waalibonya kabotu.,Wakasekelela mu mutima pele tabaakuziba.,Baalakusekelela mu mutima aa nkani eeyi.
Kumvwa nkani aa maulu,Verb phrase with metaphorical instrument,To hear rumors from everywhere,Kumvwa nkani zinji,B1,"gossip, community talk",colloquial,Image of news spreading across villages,/ku.mzʷa ŋka.ni aː ma.u.lu/,Ndakamvwa nkani aa maulu aa mulandu oyo.,Bantu balikumvwa nkani aa maulu mu muunzi.,Taumvwi nkani aa maulu fye.
Kweenda mbuli ng’ombe yakwe,Simile construction,To move slowly and confidently,Kweenda bucece kandi butaambukwi,A2,"humor, daily observation",lighthearted,Pastoral comparison with calm cattle movement,/kweːn.da ᵐbu.li ŋɡo.mbe ja.kwe/,Ulaweenda mbuli ng’ombe yakwe.,Mwana uyo ulaweenda mbuli ng’ombe yakwe.,Baalamubona kuti ulaweenda mbuli ng’ombe yakwe.
Kunywa maano,Verb phrase metaphor,To absorb knowledge deeply,Kuyiya kabotu,B2,"education, mentorship",positive,Metaphor of drinking wisdom like water,/ku.ɲwa maː.no/,Abana bakali kunywa maano aa sikolo.,Waakunywa maano kuzwa kuli bamayi.,Bana bamwe tabanywi maano kabotu.
Kubikka moyo panshi,Verb phrase with locative metaphor,To calm down and be patient,Kuzumanana butaambukwi,A2,"advice, family conversation",calming,Teaching patience and composure in Tonga culture,/ku.biːkːa mo.jo pan.ʃi/,"Bikka moyo panshi, nkani eeyi ilacabota.",Baama baakati tubikke moyo panshi.,Utabikki moyo panshi ulaaloba.
