Idiom (Khakas),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Khakas)",First Example Sentence,Second Example Sentence,Third Example Sentence
Аар тілліг,Adjectival phrase built from a qualitative adjective plus body-part noun with the attributive suffix -ліг; commonly modifies кізі or describes a speaker.,"A person who speaks harshly, maliciously, or destructively; someone whose words hurt social harmony.",Чабал сӧс чоохтайчатхан кізі,B1,daily speech; family warnings; village gossip; moral advice; conflict mediation,colloquial; admonitory; negative evaluation,"Body-part metaphor rooted in oral speech ethics: the tongue is treated as a bearer of moral force, so a 'heavy tongue' signals harmful speech.",/aːr tɘlˈlɘɣ/,Аар тілліг кізі аалда тыныс чуртасты пӱдірбес.,"Ол чоохта аар тілліг полып, кӧп кізінің кӧңнін ағыртты.","Пабам: «Аар тілліг полба, чахсы сӧс хайда даа кирек», — тиді."
Аас азарға,Infinitival verb phrase composed of the noun аас 'mouth' plus the verb азарға 'to open'; used with finite auxiliaries or converbal forms.,"To speak up, state an opinion, or finally say what one thinks in a public or delicate situation.",Ӧӧре сағызыңны чоохтаарға,B1,meetings; family discussion; youth participation; public debate; advice,neutral colloquial; encouraging; mildly figurative,Reflects the social value of measured speech: opening the mouth is not just producing sound but entering a shared decision space.,/aːs aˈzarɣa/,"Хуралда ипчілер де аас азып, ӧӧре сағыстарын чоохтадылар.","Син аас азбасаң, піс синің хынызыңны хайди пілербіс?","Час кізілер аас азып, чир-суғ хоруғларын сурадылар."
Аар чӧрерге,Infinitival verbal expression with adjective аар 'heavy' plus verb чӧрерге 'to go/walk'; euphemistic predicate.,"To be pregnant; said respectfully or indirectly, especially in family or community contexts.",Пала табарға турча,B1,family; health; village life; respectful conversation; women’s experience,euphemistic; respectful; traditional,"Uses a physical-state metaphor common in domestic speech, avoiding blunt reference to pregnancy while emphasizing care and burden.",/aːr t͡ʃøˈrerɡe/,"Саасхан аар чӧрче, аннаңар аға чеңіл тоғыс пиріңер.",Іӌем аар чӧрген тустынаң хомай чолларға сыхпаан.,Аар чӧрген хатынға аалдағылар хада полыстылар.
Аар чухча,"Nominalized idiomatic phrase with adjective аар 'heavy' plus deverbal noun чухча; often combines with кӧрерге, чыдарға, or иртірерге.","Hardship, deprivation, or a difficult period that must be endured.","Хомай, хыйын тусты чыдарға",B2,history; migration memories; family hardship; rural labor; literary narration,serious; empathetic; semi-literary,"Links bodily sensation with endurance, fitting Khakas oral recollections of seasonal labor, scarcity, and family resilience.",/aːr t͡ʃuxˈt͡ʃa/,Пыылғы хысхыда малчылар аар чухча кӧрділер.,"Час пабалар аар чухча полза даа, палачахтарын ӱгреттірділер.",Кӧчіп килген туста іӌем аар чухчаны чыдап иртірген.
Аллығ істіліг,Adjectival phrase formed from аллығ 'broad/spacious' plus істіліг 'having an inside/heart'; describes a person’s character.,"Kind-hearted, generous, patient, and emotionally open toward others.","Чахсы кӧңніг, полызарға хынчатхан кізі",A2,praise; family; teaching; hospitality; elder speech,warm; positive; colloquial-literary,Heart/interior metaphors are prominent in Turkic moral description; spaciousness marks generosity and social openness.,/alˈlɯɣ ɘsˈtɘlɘɣ/,"Аллығ істіліг кізі чоохты тыңнап, палаға чылығ сӧс пирер.","Пістің ӱгредигӌі аллығ істіліг, ол палаларға сабырлығ нандыра.",Аллығ істіліг апсах хомай кӱнде аалға полысты.
Аллығ сағыстығ,Adjectival compound with аллығ 'broad' plus сағыстығ 'having thought/mind'; used predicatively or attributively.,"Far-sighted, wise, strategically thoughtful, and able to consider consequences.","Алысха сананчатхан, чӧптіг сағыстығ кізі",C1,leadership; workplace; politics; planning; elder advice; literature,respectful; evaluative; semi-formal,"The metaphor of breadth connects intelligence with spatial awareness, echoing steppe and taiga navigation as models of judgment.",/alˈlɯɣ saɣɯsˈtɯɣ/,Аллығ сағыстығ пастых иртеңгі киректі алнынан сананды.,"Пу тоғыста аллығ сағыстығ кізі керек, паза чабалға тӱспеспіс.",Нинӌе чыл алнында ол аллығ сағыстығ чӧп пирген.
Аллығ чол!,Fixed blessing formula and elliptical nominal phrase; adjective аллығ modifies чол 'road/way'.,"A blessing wishing someone a safe, fortunate, unobstructed journey or successful undertaking.","Чолығ чахсы, амыр ползын",A2,farewells; travel; expeditions; family send-offs; ceremonial blessings,polite; warm; blessing; traditional,"Road blessings reflect mobility between aals, pastures, taiga routes, and Abakan-centered modern travel.",/alˈlɯɣ t͡ʃol/,Абаканзар атанғанда апам: «Аллығ чол!» — тиді.,Тайға чӧрізіне парыбызардан алда апсах пісче: «Аллығ чол!» — тип алғыс пирді.,"Иртенгі тимір чолзар чыылғанда, ооллар хада «Аллығ чол!» деп айтыстылар."
Алны-кистін кӱтенерге,Paired spatial adverbial phrase алны-кистін 'front-back' plus reflexive/precautionary infinitive кӱтенерге.,"To be alert, cautious, and prepared for danger or deception from any direction.","Кӱтеніп чӧрерге, хайа кӧріп чӧрерге",C1,travel; mountain/taiga movement; negotiations; cybersecurity metaphors; political commentary,cautionary; practical; slightly formal,"Spatial orientation is culturally salient in travel, herding, hunting, and everyday warnings; danger is imagined as surrounding the traveler.",/alˈnɯ kisˈtɘn kyteˈnerɡe/,"Тайғада алны-кистін кӱтеніп чӧр, чол тойғах поларға чарар.",Чоохты имӌіле тыңна: алны-кистін кӱтенген кізі алданбас.,"Хысхыда чолға сыхсаң, алны-кистін кӱтенерге кирек."
"Аңнабазан, азыран полбассың.",Conditional-negative proverbial clause: converbal/conditional аңнабазан 'if one does not hunt/work' plus negative future-capability predicate полбассың.,One cannot live well without effort; survival and prosperity require real work.,"Тоғынбасаң, азыранарға хыйын полар",B2,work ethic; family instruction; rural life; entrepreneurship; motivational speech,proverbial; instructive; traditional,"From hunting and subsistence traditions, where labor, restraint, and skill ensured the household’s food supply.",/aŋnaˈbasan azɯˈran polbasˈsɯŋ/,"Апсах оолларға: «Аңнабазан, азыран полбассың», — тип тоғысха ӱгретті.",Пу сӧспек чуртаста тирең тоғыс кирегін кӧзідер.,"Піс аалда чаа тоғыс пастап, «Аңнабазан, азыран полбассың» деп чӧптестік."
Чабан тілге тас таа чарылған.,Complete proverbial clause with dative-marked cause/instrument тілге and emphatic particle таа; predicate in past participial/passive form чарылған.,Harmful speech can break even the strongest thing; cruel words cause deep damage.,"Чабал сӧс кізіні ағыртып, араны пӧгер",C1,conflict resolution; family morality; public argument; literature; sarcasm about slander,proverbial; moralizing; vivid; serious,Connected with Khakas oral ethics in which speech is powerful; the image of stone cracking dramatizes the danger of a bad tongue.,/t͡ʃaˈban tɘlˈɡe tas taː t͡ʃarɯlˈɣan/,"Чабан тілге тас таа чарылған, аннаңар чабал сӧсті халых арасына таратпа.",Ол сӧспекті іӌем кӧп чоохтай: чабан тілге тас таа чарылған.,"Хуралда кирсіз сӧстер чоохталғанда, апсах «чабан тілге тас таа чарылған» тип тохтатты."
