Idiom (Calabrian Greek),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Calabrian Greek)",First Example Sentence,Second Example Sentence,Third Example Sentence
Κάνει την τρίχα τριχιά,Σταθερή φραστική έκφραση με αντικείμενο σε αιτιατική,Υπερβάλλει και διογκώνει μικρό πρόβλημα,Υπερβάλλει υπερβολικά για κάτι μικρό,B1,"Καθημερινή ομιλία, οικογενειακές συζητήσεις, χιούμορ","Καθημερινό, ειρωνικό",Παραδοσιακή μεσογειακή μεταφορά για την υπερβολή,/ˈkani tin ˈtrixa triˈça/,Μην κάνεις την τρίχα τριχιά για ένα μικρό λάθος.,Πάλι έκανε την τρίχα τριχιά μπροστά σε όλους.,Στο συμβούλιο έκανε την τρίχα τριχιά και ανησύχησαν όλοι.
Έφαγε τη γλώσσα του,Μεταφορική ρηματική φράση σε αόριστο,Σταμάτησε να μιλά ξαφνικά,Σιώπησε ξαφνικά,A2,"Καθημερινή ομιλία, σχολείο, οικογένεια","Καθημερινό, ελαφρώς χιουμοριστικό",Παραδοσιακή λαϊκή εικόνα απώλειας λόγου,/ˈefaʝe ti ˈɣlosa tu/,"Μόλις τον ρώτησαν για τα χρήματα, έφαγε τη γλώσσα του.",Στην τάξη έφαγε τη γλώσσα του όταν τον κάλεσαν.,Τόση ώρα μιλούσε και τώρα έφαγε τη γλώσσα του.
Τα έβαλε με τα κύματα,Ρηματική έκφραση με αντικείμενο σε πληθυντικό,Αντιμετώπισε κάτι πολύ δύσκολο ή αδύνατο,Προσπάθησε να πολεμήσει κάτι ανώτερο από αυτόν,C1,"Πολιτική, κοινωνικά θέματα, λογοτεχνία","Ποιητικό, δραματικό",Ναυτική μεταφορά από τη ζωή των ψαράδων της Καλαβρίας,/ta ˈevale me ta ˈcimata/,Με τα μεγάλα συμφέροντα τα έβαλε με τα κύματα.,Ο νέος δήμαρχος τα έβαλε με τα κύματα της διαφθοράς.,"Όποιος πολεμά μόνος του το σύστημα, τα βάζει με τα κύματα."
Κρατάει μικρό καλάθι,Σταθερή μεταφορική φράση με ρήμα σε ενεστώτα,Διατηρεί χαμηλές προσδοκίες,Δεν έχει μεγάλες προσδοκίες,B2,"Εργασία, εξετάσεις, προσωπικοί στόχοι","Ουδέτερο, ρεαλιστικό",Αγροτική μεταφορά από τη συγκομιδή καρπών,/kraˈtaji miˈkro kaˈlaθi/,Για το αποτέλεσμα κρατάει μικρό καλάθι.,Πάντα κρατά μικρό καλάθι πριν τις εξετάσεις.,Στις υποσχέσεις των πολιτικών κρατώ μικρό καλάθι.
Το νερό μπήκε στο αυλάκι,Παθητική σύνταξη με ρήμα σε αόριστο,Τα πράγματα άρχισαν να εξελίσσονται ομαλά,Η κατάσταση σταθεροποιήθηκε,B1,"Οικογένεια, εργασία, κοινωνικές αλλαγές","Καθημερινό, θετικό",Αγροτική εικόνα από τα αρδευτικά αυλάκια,/to neˈro ˈbike sto avˈlaki/,"Μετά τη συμφωνία, το νερό μπήκε στο αυλάκι.","Όταν βρήκε δουλειά, το νερό μπήκε στο αυλάκι.",Σιγά σιγά το νερό μπήκε στο αυλάκι στο σπίτι τους.
Έπεσε από τα σύννεφα,Ρηματική μεταφορά σε αόριστο,Έμεινε έκπληκτος ή σοκαρισμένος,Εξεπλάγη πολύ,A2,"Καθημερινή ομιλία, νέα, κοινωνικά γεγονότα",Καθημερινό,Πανελλήνια μεταφορά έκπληξης με τοπική χρήση,/ˈepese aˈpo ta ˈsinefa/,"Όταν άκουσε την είδηση, έπεσε από τα σύννεφα.",Έπεσα από τα σύννεφα με την απόφαση.,Οι γονείς έπεσαν από τα σύννεφα με τα αποτελέσματα.
Μιλάει με μισόλογα,Ρηματική φράση με επιρρηματικό προσδιορισμό,Δεν λέει ξεκάθαρα αυτό που θέλει,Μιλά ασαφώς,B1,"Πολιτική, διαπραγματεύσεις, προσωπικές σχέσεις","Ειρωνικό, καχύποπτο",Παραδοσιακή κοινωνική κριτική έμμεσου λόγου,/miˈlai me mizoˈloɣa/,Στη συνέντευξη μιλάει με μισόλογα.,"Μη μιλάς με μισόλογα, πες την αλήθεια.",Ο διευθυντής μιλά με μισόλογα για τις αλλαγές.
Έβαλε το χέρι στη φωτιά,Ρηματική μεταφορά σε αόριστο,Υπερασπίστηκε κάποιον με βεβαιότητα,Τον υποστήριξε απόλυτα,B2,"Οικογένεια, φιλία, δικαστήριο","Δραματικό, έντονο",Μεταφορά από δοκιμασίες πίστης,/ˈevale to ˈçeri sti foˈtça/,Για τον φίλο του έβαλε το χέρι στη φωτιά.,Δεν βάζω το χέρι στη φωτιά για κανέναν.,Έβαλαν το χέρι στη φωτιά για την αθωότητά του.
Σήκωσε μανίκια,Ελλειπτική προστακτική/αόριστη ρηματική φράση,Άρχισε να εργάζεται σκληρά,Άρχισε να δουλεύει εντατικά,A2,"Εργασία, αγροτική ζωή, συνεργασία","Καθημερινό, παρακινητικό",Αγροτική και εργατική εικόνα προετοιμασίας για δουλειά,/ˈsikose maˈnicça/,"Μόλις ήρθε η σοδειά, σήκωσε μανίκια.",Σήκωσε μανίκια και τελείωσε το έργο.,"Όταν δυσκολεύει η κατάσταση, σηκώνουμε μανίκια."
Έχει το κεφάλι ψηλά,Σταθερή φραστική δομή με ρήμα σε ενεστώτα,Διατηρεί αξιοπρέπεια παρά τις δυσκολίες,Παραμένει αξιοπρεπής,C1,"Κοινωνικά θέματα, λογοτεχνία, δημόσιος λόγος","Ποιητικό, αξιοπρεπές",Συνδεδεμένο με έννοια τιμής στις κοινότητες της Καλαβρίας,/ˈeçi to ceˈfali psiˈla/,Παρά τις δυσκολίες έχει το κεφάλι ψηλά.,Η μάνα του στάθηκε με το κεφάλι ψηλά.,Στην κρίση κράτησε το κεφάλι ψηλά μπροστά σε όλους.
