Idiom (Hmong Daw),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
noj mov dawb lub ncauj,Fixed verb phrase,To benefit without contributing; freeloading,tau yam tsis them nqi lossis tsis pab,B1,"daily speech, humor, family","colloquial, ironic",Reflects agrarian sharing culture where fairness mattered,/nɔ˧ mɔ˧ daʊ˧ lu˨ ɲaʊ˧/,Nws ib txwm tuaj noj mov dawb lub ncauj.,Tsis txhob cia nws noj mov dawb lub ncauj ntxiv lawm.,Kuv tsis nyiam cov neeg noj mov dawb lub ncauj.
plawv tawv li pob zeb,Simile phrase,Emotionally hard or unfeeling,tsis muaj kev khuv leej,B2,"literature, daily speech",poetic,Stone imagery common in Hmong oral tradition,/plɑ˧ tʰaʊ˧ li˧ pɔ˧ ze˧/,Nws lub plawv tawv li pob zeb.,Koj tsis txhob ua plawv tawv li pob zeb.,Qee zaus nws zoo li plawv tawv li pob zeb.
dhia siab li nplaim taws,Simile phrase,Extreme excitement or anxiety,zoo siab heev lossis ntxhov siab heev,B2,"daily speech, emotion",expressive,Fire metaphor tied to energy and spirit,/dʱia˧ siə˧ li˧ nplai˧ taʊ˧/,Kuv lub siab dhia siab li nplaim taws.,Nws dhia siab li nplaim taws thaum hnov xov.,Peb txhua tus dhia siab li nplaim taws.
ua dev tom pob txha qub,Fixed clause,Revisiting old conflicts,rov hais teeb meem qub,C1,"conflict, politics",ironic,Dog-bone imagery reflects persistence,/ua˧ de˧ tɔ˧ pɔ˧ tʰaʊ˧ ku˧/,Tsis txhob ua dev tom pob txha qub.,Nws pheej ua dev tom pob txha qub.,Peb yuav tsum tsis ua dev tom pob txha qub.
hais lus zoo li dej ntws,Simile phrase,Speaking fluently and smoothly,hais lus npliag thiab tsis txhaws,B1,"education, daily speech",positive,Water flow symbolizes eloquence,/haɪ˧ lu˧ zo˧ li˧ de˧ ntʰwə˧/,Nws hais lus zoo li dej ntws.,Kuv xav hais lus zoo li dej ntws.,Nws yog tus neeg hais lus zoo li dej ntws.
ua siab loj li tsov,Simile phrase,Very brave,muaj siab tawv heev,A2,"daily speech, storytelling",heroic,Tiger imagery from Southeast Asian fauna,/ua˧ siə˧ lo˧ li˧ tso˧/,Nws ua siab loj li tsov.,Koj yuav tsum ua siab loj li tsov.,Lawv pom nws ua siab loj li tsov.
nyob saum ntuj,Metaphorical phrase,Feeling extremely happy,zoo siab heev,A2,daily speech,poetic,Heaven metaphor for joy,/ɲɔ˧ saʊ˧ ɲu˧/,Kuv zoo li nyob saum ntuj.,Nws xav tias nws nyob saum ntuj.,Lawv nyob saum ntuj thaum yeej.
siab dub,Adjective phrase,Selfish or greedy,tsis xav pab lwm tus,B1,"daily speech, criticism",negative,Color symbolism in Hmong culture,/siə˧ du˧/,Nws yog neeg siab dub.,Koj tsis txhob ua siab dub.,Cov neeg siab dub tsis muaj phooj ywg.
tsis muaj ntsej muag,Predicate phrase,Shameless,tsis muaj kev txaj muag,B1,social norms,critical,Face as honor concept,/tsi˧ maʊ˧ nce˧ ma˧/,Nws tsis muaj ntsej muag.,Koj ua li ntawd ces tsis muaj ntsej muag.,Nws ua yam tsis muaj ntsej muag.
ua neej nyob ntsiag to li dej,Simile phrase,Living quietly and peacefully,nyob ntsiag to thiab tsis muaj teeb meem,C1,"philosophy, lifestyle",poetic,Water calmness symbolism,/ua˧ ne˧ ɲɔ˧ nciə˧ tɔ˧ li˧ de˧/,Nws ua neej nyob ntsiag to li dej.,Kuv xav ua neej nyob ntsiag to li dej.,Lawv nyob ntsiag to li dej.
