Idiom (Ulster Scots),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ulster Scots)",First Example Sentence,Second Example Sentence,Third Example Sentence
A wheen o wark,Indefinite quantifier noun phrase: article + quantity noun + prepositional complement; functions as a predicate complement or object.,"A considerable amount of work, trouble, or effort, often more than expected.",A lot of work or effort.,A2,Daily speech; farming; household tasks; workplace planning; friendly complaint.,"Colloquial, practical, mildly emphatic.","The word “wheen” is widespread in Ulster Scots and Scots for an indefinite number or amount; the phrase reflects rural and working-life talk across Antrim, Down, and Donegal.",/ə ʍin ə wɑrk/,Thon byre is a wheen o wark afore the cattle can be brocht in.,It’ll be a wheen o wark tae sort the accounts afore Friday.,Ye’ve made a wheen o wark for yersel wi that broken gate.
A quare geg,Adjective-modified singular noun phrase: intensifier adjective + count noun; commonly used as a predicate nominal.,"Something very funny, ridiculous, or unexpectedly amusing.",A very funny thing or joke.,B1,Humour; storytelling; family talk; casual remarks; social teasing.,"Colloquial, humorous, warm, sometimes ironic.",“Quare” is a hallmark Ulster Scots intensifier meaning remarkable or very; “geg” is local speech for a joke or comic incident.,/ə kweːr ɡeɡ/,His yarn aboot the goat in the kitchen was a quare geg.,It was a quare geg when the wee dog ran aff wi the minister’s hat.,They thought the whole mix-up at the mart was a quare geg.
Keep yer heid,Imperative verb phrase: base verb + possessive object noun; fixed pragmatic command.,"Stay calm, think clearly, and do not panic under pressure.",Remain calm and sensible.,B1,Advice; emergencies; sport; workplace pressure; family guidance.,"Colloquial, encouraging, directive.",The image of the “heid” as the seat of sense and steadiness is common in Scots and Ulster Scots moral advice.,/kip jər hid/,"Keep yer heid when the road is icy, an dinnae brake ower hard.","The match isnae lost yet, boys; keep yer heid an play the ball.",She telt me tae keep ma heid when the interview questions got sharp.
Dinnae fash yersel,Negative imperative reflexive verb phrase: auxiliary negation + lexical verb + reflexive pronoun; fixed reassurance formula.,"Do not worry, trouble yourself, or become anxious about something.",Do not worry about it.,A2,Reassurance; family life; hospitality; neighbourly speech; minor problems.,"Colloquial, comforting, gentle.",“Fash” entered Scots through older French influence and remains in Scots and Ulster Scots as a verb meaning to bother or trouble.,/ˈdɪne fæʃ jərˈsɛl/,Dinnae fash yersel aboot the dishes; I’ll dae them efter tea.,"If the bus is late, dinnae fash yersel, for we’ve time eneuch.",Dinnae fash yersel wi thon gossip; it’ll blaw ower by mornin.
As thrawn as a wuddy,Simile adjective phrase: as + adjective + as + noun phrase; fixed comparative expression.,"Very stubborn, contrary, or unwilling to change one’s mind.",Extremely stubborn or contrary.,B2,Character description; family disputes; politics; humour; rural storytelling.,"Colloquial, vivid, mildly critical, humorous.",“Thrawn” is a Scots and Ulster Scots adjective for twisted or perverse in temper; “wuddy” evokes tough wood or a wooden object that will not bend easily.,/əz θrɑːn əz ə ˈwʌdi/,Da is as thrawn as a wuddy when he’s set on mendin the tractor his ain wey.,The councillor was as thrawn as a wuddy an wadnae shift on the matter.,Ye’ll no change her mind the nicht; she’s as thrawn as a wuddy.
Lang may yer lum reek,Optative fixed clause: adjective/adverb + modal auxiliary + possessive noun phrase + intransitive verb; blessing formula.,May you live long and prosper; a warm wish for continued household wellbeing.,I hope you have a long and happy life.,C1,Toasts; blessings; weddings; New Year; literature; cultural occasions.,"Traditional, poetic, affectionate, ceremonial.","The smoking chimney symbolises a warm, occupied, prosperous home; the saying is shared across Scots traditions and recognised in Ulster Scots cultural speech.",/lɑŋ me jər lʌm rik/,"Lang may yer lum reek, said Auntie May, liftin her cup at the weddin.","We wished the new folk in the loanin, lang may yer lum reek in this hoose.","Efter the harvest supper, the aul farmer smiled an said, lang may yer lum reek."
Mony a mickle maks a muckle,Gnomic proverb clause: quantifier phrase + singular noun + present-tense verb + object noun; fixed proverbial structure.,Small amounts accumulate into something substantial over time.,Many small contributions make a large total.,C1,Finance; thrift; teaching; farming; community fundraising; moral advice.,"Proverbial, traditional, instructive.","A long-standing Scots proverb used in Ulster Scots communities to praise thrift, patience, and collective effort.",/ˈmʌni ə ˈmɪkəl maks ə ˈmʌkəl/,"Save the odd pound, son; mony a mickle maks a muckle.","The hall fund grew slowly, for mony a mickle maks a muckle.","She kept the wee scraps o cloth, sayin mony a mickle maks a muckle."
He’s awa wi the fairies,Copular clause with directional particle phrase: subject + be + away + prepositional complement; idiomatic predicate.,"He is distracted, unrealistic, eccentric, or not paying attention to ordinary reality.",He is daydreaming or behaving unrealistically.,B2,Humour; mild criticism; school; family talk; storytelling; gentle teasing.,"Colloquial, playful, mildly mocking.",Fairy belief is part of Ulster folklore; the phrase uses supernatural imagery to describe absent-mindedness or impractical thinking.,/hiz əˈwɑː wi ðə ˈfɛriz/,He’s awa wi the fairies if he thinks that oul van will pass the test.,"The wean was awa wi the fairies, starin oot at the rain instead o writin.","When Tam starts talkin aboot gold in the bog, he’s awa wi the fairies."
Tak the road an the road’ll tak ye,Balanced imperative-plus-future clause: imperative verb phrase followed by coordinated future clause; proverbial travel formula.,Begin the journey or task and experience will guide the next steps.,"Start, and you will find your way as you go.",B2,Travel; personal advice; storytelling; resilience; migration; learning.,"Proverbial, encouraging, reflective.","Rooted in rural movement, market roads, and emigration memory, where practical action often mattered more than perfect planning.",/tak ðə roːd ən ðə roːdəl tak ji/,"Tak the road an the road’ll tak ye, Gran said when I feared leavin hame.","For learnin a tongue, tak the road an the road’ll tak ye.","We didnae ken the whole plan, but we took the road an the road took us."
Ye couldnae bate it wi a big stick,Negative modal clause with instrumental prepositional phrase: subject + modal negation + verb + object pronoun + with-phrase; emphatic idiom.,"It is excellent, unbeatable, or impossible to improve upon.",It is very good and hard to surpass.,B1,Food praise; sport; music; reviews; friendly enthusiasm; local pride.,"Colloquial, emphatic, approving, humorous.",The exaggerated image of failing to beat something even with a stick gives the phrase comic force in everyday praise.,/ji ˈkʊdne bet ɪt wi ə bɪɡ stɪk/,"That soda farl was that tasty, ye couldnae bate it wi a big stick.","For a dry day at the Balmoral Show, ye couldnae bate it wi a big stick.",Her fiddle playin filled the room; ye couldnae bate it wi a big stick.
