Idiom (Coptic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Coptic)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ⲡⲉϥϩⲏⲧ ⲉϥⲟⲩⲁⲁⲃ,Nominal clause (possessive construction + stative adjective),"Describes someone who is pure-hearted, sincere, and without hidden motives.",Ϥⲟⲩⲁⲁⲃ ⲛⲁϥ ⲛⲁϥϩⲏⲧ (He is sincere).,B1,"Daily speech, religious discourse, family settings","Warm, approving, semi-formal",Rooted in monastic and biblical metaphors of inner purity.,/pef.hyːt ef.u.aːb/,Ⲡⲉϥϩⲏⲧ ⲉϥⲟⲩⲁⲁⲃ ϩⲓⲛⲁ ⲡⲉϥϣⲁϫⲉ ⲛⲁⲛ ⲉϥⲙⲉ.,Ⲛⲁϥⲣⲱⲙⲉ ϫⲉ ⲡⲉϥϩⲏⲧ ⲉϥⲟⲩⲁⲁⲃ ⲁⲩⲱ ⲙⲡⲉϥⲥⲟⲃⲧⲉ.,Ⲉⲣⲉ ⲡⲉϥϩⲏⲧ ⲉϥⲟⲩⲁⲁⲃ ⲙⲡⲁⲣⲁ ⲡⲉϥⲣⲱ.
Ⲁϥϯ ⲛⲟⲩϩⲏⲧ ⲛⲁϥ,Verb phrase (perfect tense + object noun),To encourage or strengthen someone emotionally.,Ϥⲥⲁⲓⲧ ⲛⲁϥ (He encouraged him).,B2,"Community speech, pastoral care, encouragement contexts","Supportive, motivational",Linked to Coptic Christian emphasis on spiritual strengthening.,/af.ti nu.hyːt naf/,Ⲁϥϯ ⲛⲟⲩϩⲏⲧ ⲛⲁϥ ϩⲓⲛⲁ ⲛⲁϥⲥⲟⲃⲧⲉ.,Ⲛⲁϥϣⲱⲡⲉ ⲙⲟⲛⲟⲛ ⲁϥϯ ⲛⲟⲩϩⲏⲧ ⲛⲁϥ.,"Ⲙⲡⲉⲣⲣⲟⲩϩⲉ, ⲁϥϯ ⲛⲟⲩϩⲏⲧ ⲛⲁⲕ."
Ⲡⲉϥϣⲁϫⲉ ⲉϥϫⲟⲟⲥ,Nominal phrase (possessive + verbal adjective),His words are empty or meaningless.,Ϥⲥⲁϫⲉ ⲛⲟⲩⲙⲁ ⲙⲙⲟⲥ (He speaks emptily).,C1,"Political speech, sarcasm, debate","Ironic, critical",Used historically in rhetorical criticism within ecclesiastical debates.,/pef.ʃa.d͡ʒe ef.d͡ʒoːs/,Ⲡⲉϥϣⲁϫⲉ ⲉϥϫⲟⲟⲥ ⲁⲩⲱ ⲙⲡⲉϥϩⲱⲃ ⲙⲉ.,Ⲛⲁϥϣⲁϫⲉ ϩⲁⲛⲙⲁ ⲁⲗⲗⲁ ⲡⲉϥϣⲁϫⲉ ⲉϥϫⲟⲟⲥ.,Ⲡⲉϥϣⲁϫⲉ ⲉϥϫⲟⲟⲥ ⲙⲡⲉⲛⲧⲉⲛϣⲱⲡⲉ.
Ⲡⲉϥϩⲏⲧ ⲉϥⲙⲟⲕϩ,Nominal clause (stative adjective),He is troubled or emotionally burdened.,Ϥϩⲓⲥⲉ ⲛⲁϥϩⲏⲧ (He feels distressed).,B2,"Family, grief, pastoral care","Serious, empathetic",Derived from desert spirituality language of inner struggle.,/pef.hyːt ef.mokʰ/,Ⲡⲉϥϩⲏⲧ ⲉϥⲙⲟⲕϩ ⲉϫⲉ ⲡⲉϥϣⲏⲣⲉ.,Ⲉⲣⲉ ⲡⲉϥϩⲏⲧ ⲉϥⲙⲟⲕϩ ⲙⲡⲉϩⲟⲟⲩ.,Ⲡⲉϥϩⲏⲧ ⲉϥⲙⲟⲕϩ ⲁⲩⲱ ⲙⲡⲉϥⲣⲁϣⲓ.
Ⲁϥϣⲱⲡⲉ ⲛⲟⲩⲥⲟϭ,Verb phrase (perfect + predicate noun),He became foolish or acted unwisely.,Ϥⲁⲓ ⲛⲟⲩⲥⲟϭ (He acted foolishly).,C1,"Humor, criticism, storytelling","Mocking, humorous",Appears in monastic tales criticizing pride.,/af.ʃoːpe nu.sot͡ʃ/,Ⲁϥϣⲱⲡⲉ ⲛⲟⲩⲥⲟϭ ϩⲓⲛⲁ ⲁϥϯ ⲛⲁϥ.,Ⲛⲁϥⲥⲁϫⲉ ⲁⲩⲱ ⲁϥϣⲱⲡⲉ ⲛⲟⲩⲥⲟϭ.,Ⲙⲡⲉⲣϣⲱⲡⲉ ⲛⲟⲩⲥⲟϭ ⲙⲡⲉⲕϩⲱⲃ.
Ⲡⲉϥⲣⲁⲛ ⲉϥⲧⲁⲓⲏⲟⲩⲧ,Nominal clause (possessive + qualitative adjective),He has a good reputation.,Ϥⲟⲩⲟⲩⲧ ⲛⲁϥ (He is respected).,B2,"Workplace, church leadership, formal speech","Respectful, formal",Connected to Coptic honor culture and ecclesiastical hierarchy.,/pef.ran ef.ta.juːt/,Ⲡⲉϥⲣⲁⲛ ⲉϥⲧⲁⲓⲏⲟⲩⲧ ϩⲓⲛⲁ ⲁⲩⲣⲱⲙⲉ ⲛⲁϥ.,Ⲛⲁϥⲥⲟⲧⲙ ⲛⲁϥ ⲉϫⲉ ⲡⲉϥⲣⲁⲛ ⲉϥⲧⲁⲓⲏⲟⲩⲧ.,Ⲡⲉϥⲣⲁⲛ ⲉϥⲧⲁⲓⲏⲟⲩⲧ ⲛⲉ ⲛϭⲓ ⲛⲉⲥⲛⲏⲩ.
Ⲡⲉϥⲙⲟⲩ ⲉϥⲣⲁϣⲓ,Nominal clause,He is joyful in spirit.,Ϥⲣⲁϣⲓ ⲛⲁϥ (He is happy).,A2,"Daily speech, celebration","Positive, informal",Common in liturgical joy expressions.,/pef.mu ef.ra.ʃi/,Ⲡⲉϥⲙⲟⲩ ⲉϥⲣⲁϣⲓ ⲉϫⲉ ⲡⲉϥϣⲏⲣⲉ.,Ⲉⲣⲉ ⲡⲉϥⲙⲟⲩ ⲉϥⲣⲁϣⲓ ⲙⲡⲉϩⲟⲟⲩ.,Ⲡⲉϥⲙⲟⲩ ⲉϥⲣⲁϣⲓ ⲁⲩⲱ ⲛⲁϥⲥⲱⲧⲙ.
Ⲡⲉϥϩⲏⲧ ⲉϥϣⲟⲣⲡ,Nominal clause (stative form),He is impatient or quick-tempered.,Ϥϩⲱⲣⲡ ⲛⲁϥ (He is impatient).,C1,"Family disputes, humor, critique","Critical, colloquial",Appears in didactic monastic texts warning against anger.,/pef.hyːt ef.ʃorp/,Ⲡⲉϥϩⲏⲧ ⲉϥϣⲟⲣⲡ ⲉϫⲉ ⲛⲉϥϩⲱⲃ.,Ⲛⲁϥⲥⲁϫⲉ ⲙⲡⲉϥϩⲏⲧ ⲉϥϣⲟⲣⲡ.,Ⲡⲉϥϩⲏⲧ ⲉϥϣⲟⲣⲡ ⲙⲡⲉⲧⲉⲛϣⲁϫⲉ.
Ⲁϥⲥⲱⲧⲙ ⲙⲡⲉϥϩⲏⲧ,Verb phrase (perfect + object),He followed his conscience.,Ϥⲁⲓ ⲙⲡⲉϥⲙⲉⲩⲓ (He followed his judgment).,B2,"Ethics, moral teaching, literature","Reflective, serious",Strongly biblical in origin.,/af.soːtm mpef.hyːt/,Ⲁϥⲥⲱⲧⲙ ⲙⲡⲉϥϩⲏⲧ ϩⲓⲛⲁ ⲁϥⲙⲉ.,Ⲛⲁϥϩⲓⲥⲉ ⲁⲩⲱ ⲁϥⲥⲱⲧⲙ ⲙⲡⲉϥϩⲏⲧ.,Ⲁϥⲥⲱⲧⲙ ⲙⲡⲉϥϩⲏⲧ ⲛⲉ ⲛϭⲓ ⲡⲉϥϣⲁϫⲉ.
Ⲡⲉϥⲙⲁ ⲉϥϫⲓⲟⲩ,Nominal clause,He is arrogant or self-exalting.,Ϥⲧⲁⲓⲟ ⲛⲁϥ ⲉϫⲱϥ (He exalts himself).,C2,"Satire, theological critique","Sarcastic, literary",Common in ascetic literature criticizing pride.,/pef.ma ef.d͡ʒiu/,Ⲡⲉϥⲙⲁ ⲉϥϫⲓⲟⲩ ⲉϫⲉ ⲛⲉϥϩⲱⲃ.,Ⲛⲁϥϣⲁϫⲉ ⲙⲡⲉϥⲙⲁ ⲉϥϫⲓⲟⲩ.,Ⲡⲉϥⲙⲁ ⲉϥϫⲓⲟⲩ ⲁⲩⲱ ⲙⲡⲉϥⲥⲟⲧⲙ.
