Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ɓɛ́ nyɔ́ɛ kpɔɔ́ laa,Fixed verbal clause with plural subject marker Ɓɛ́ + verb phrase; idiomatic predicate construction,People are gossiping secretly about someone’s situation.,Ɓɛ́ se nyɔ́ɛ mi laa niŋ kpɔɔ.,B2,"Daily speech, humor, family discussions","Colloquial, ironic",Common in coastal Grand Bassa communities where communal storytelling encourages indirect commentary.,/ɓɛ́ ɲɔ́ɛ kpɔɔ́ laa/,"Ɓɛ́ nyɔ́ɛ kpɔɔ́ laa niŋ mi, mi mu se laa.","Niŋ kpɔɔ la, Ɓɛ́ nyɔ́ɛ kpɔɔ́ laa wɔ.","Ɓɛ́ nyɔ́ɛ kpɔɔ́ laa, a mu dii wɔ."
Mi kpɔɔ́ nyɔ́ɛ se la,Verb-object idiomatic clause with emphatic particle se,I am pretending not to understand a clear issue.,Mi mu se nyɔ́ɛ kpɔɔ la.,C1,"Politics, sarcasm, workplace","Ironic, sarcastic",Used historically during town hall debates when speakers avoided direct answers.,/mi kpɔɔ́ ɲɔ́ɛ se la/,Mi kpɔɔ́ nyɔ́ɛ se la niŋ wɔnɔ.,A se mi kpɔɔ́ nyɔ́ɛ se la wɔ?,"Mi kpɔɔ́ nyɔ́ɛ se la, la a mu dii."
Kpɔɔ́ laa nyɔ́ɛ wɔ,Predicate adjective structure with topicalized noun,A situation has become obvious to everyone.,Nyɔ́ɛ laa kpɔɔ́ niŋ wɔ.,B1,"Community discussions, leadership settings","Neutral, descriptive",Common proverb-like expression in rural palaver huts.,/kpɔɔ́ laa ɲɔ́ɛ wɔ/,"Kpɔɔ́ laa nyɔ́ɛ wɔ, Ɓɛ́ mu laa se.","Niŋ wɔnɔ, kpɔɔ́ laa nyɔ́ɛ wɔ la.",A mu se kpɔɔ́ laa nyɔ́ɛ wɔ ɔ?
Nyɔ́ɛ dii kpɔɔ́ niŋ la,Compound verb phrase with relational marker niŋ,Someone is taking advantage of another person’s weakness.,Ɓɛ́ dii mi la wɔ niŋ kpɔɔ.,C2,"Politics, family conflict","Critical, cautionary",Associated with traditional authority warnings among elders.,/ɲɔ́ɛ dii kpɔɔ́ niŋ la/,"Nyɔ́ɛ dii kpɔɔ́ niŋ la, mi mu kpɔɔ.",A se nyɔ́ɛ dii kpɔɔ́ niŋ la wɔ?,Ɓɛ́ nyɔ́ɛ dii kpɔɔ́ niŋ la niŋ wɔnɔ.
La kpɔɔ́ dii nyɔ́ɛ,Inverted clause with focus marker la,A bold person speaks uncomfortable truths.,Mi dii nyɔ́ɛ kpɔɔ la wɔ.,B2,"Literature, motivational speech","Poetic, assertive",Used in storytelling traditions praising brave speakers.,/la kpɔɔ́ dii ɲɔ́ɛ/,La kpɔɔ́ dii nyɔ́ɛ niŋ wɔnɔ.,Mi se la kpɔɔ́ dii nyɔ́ɛ wɔ.,A mu la kpɔɔ́ dii nyɔ́ɛ la?
Ɓɛ́ mu kpɔɔ́ la nyɔ́ɛ,Negative verbal construction with mu preceding predicate,People refuse to acknowledge reality.,Ɓɛ́ mu se nyɔ́ɛ kpɔɔ la.,B2,"Politics, social commentary","Critical, ironic",Often heard during election periods in Buchanan.,/ɓɛ́ mu kpɔɔ́ la ɲɔ́ɛ/,Ɓɛ́ mu kpɔɔ́ la nyɔ́ɛ niŋ wɔnɔ.,A se Ɓɛ́ mu kpɔɔ́ la nyɔ́ɛ wɔ?,"Ɓɛ́ mu kpɔɔ́ la nyɔ́ɛ, la kpɔɔ laa."
Mi dii laa kpɔɔ́ wɔ,Verb phrase with locative emphasis wɔ,I have publicly revealed the truth.,Mi se nyɔ́ɛ kpɔɔ la wɔ.,C1,"Public debate, media speech","Formal, declarative",Emerging modern usage in radio commentary across Liberia.,/mi dii laa kpɔɔ́ wɔ/,Mi dii laa kpɔɔ́ wɔ niŋ wɔnɔ.,"Niŋ kpɔɔ la, mi dii laa kpɔɔ́ wɔ.",A mu se mi dii laa kpɔɔ́ wɔ ɔ?
Nyɔ́ɛ la kpɔɔ́ se,Noun phrase followed by emphatic se,The truth hurts when emphasized.,Nyɔ́ɛ kpɔɔ la wɔ niŋ se.,B1,"Family advice, humor","Reflective, slightly humorous",Common among elders correcting youth behavior.,/ɲɔ́ɛ la kpɔɔ́ se/,"Nyɔ́ɛ la kpɔɔ́ se, mi mu kpɔɔ.",A se nyɔ́ɛ la kpɔɔ́ se wɔ?,Nyɔ́ɛ la kpɔɔ́ se niŋ wɔnɔ.
Kpɔɔ́ niŋ nyɔ́ɛ laa,Coordinated noun phrase with relational marker niŋ,Truth and patience go together.,Kpɔɔ́ niŋ nyɔ́ɛ la wɔ.,A2,"Daily advice, moral teaching","Neutral, didactic",Common moral instruction in village upbringing.,/kpɔɔ́ niŋ ɲɔ́ɛ laa/,Kpɔɔ́ niŋ nyɔ́ɛ laa niŋ wɔnɔ.,Mi se kpɔɔ́ niŋ nyɔ́ɛ laa wɔ.,A mu kpɔɔ́ niŋ nyɔ́ɛ laa ɔ?
La nyɔ́ɛ kpɔɔ́ dii wɔ,Focused clause with locative emphasis,Truth eventually prevails.,Nyɔ́ɛ kpɔɔ la wɔ niŋ la.,C2,"Political speech, literature","Formal, poetic",Used in post-conflict reconciliation narratives in Liberia.,/la ɲɔ́ɛ kpɔɔ́ dii wɔ/,La nyɔ́ɛ kpɔɔ́ dii wɔ niŋ wɔnɔ.,A se la nyɔ́ɛ kpɔɔ́ dii wɔ ɔ?,"Mi mu kpɔɔ, la nyɔ́ɛ kpɔɔ́ dii wɔ."
