Idiom (Kaapor),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kaapor)",First Example Sentence,Second Example Sentence,Third Example Sentence
kaʔa pɪpor rupi wata,Fixed postpositional verb phrase: noun compound + rupi + intransitive verb wata; usable as predicate or quoted counsel.,"To follow ancestral knowledge, tested paths, or community-approved guidance instead of acting alone.",awá maʔe jukwahá rehe oho,B1,family advice; teaching; village planning; ecological knowledge; respectful disagreement,"colloquial, respectful, proverbial","Motivated by the Kaʔapor self-name etymology connected with kaʔa-pɪpor, 'forest footprints', and by the cultural weight of forest paths.",[kaʔa pɨˈpɔɾ ɾuˈpi waˈta],"Xõru kaʔa pɪpor rupi wata rahã, upa tĩ harõ.","ihẽ kaʔa pɪpor rupi ahota, aʔerehe ihẽ asak tĩ.","jane kaʔa pɪpor rupi jawata, ko riki katu."
uʔɪ sepetu pɪhɪk,Object–verb construction: concrete noun phrase + transitive verb pɪhɪk 'hold/take'; metaphorically predicative.,To accept responsibility bravely and be ready for a difficult task.,awá maʔe raho katu,B2,leadership; work teams; conflict mediation; hunting preparation; youth encouragement,"serious, encouraging, slightly ceremonial","Uses arrow-tip imagery associated with forest work, defense, and narrated Kaʔapor scenes involving arrows and careful preparation.",[uʔɨ seˈpetu pɨˈhɨk],"Mataru uʔɪ sepetu pɪhɪk, pe kamarar ta raho.","ne uʔɪ sepetu pɪhɪk rahã, jane peharõ ɪm.","aʔe uʔɪ sepetu pɪhɪk tĩ, ajameʔẽ pandu katu."
ʔok rehe pɪhɪk,Postpositional object phrase + transitive verb; compact predicate with relational rehe marking the protected domain.,"To protect family, household, or community interests with loyalty.",jane kamarar rehe harõ,A2,family; childcare; village meetings; mutual aid; moral instruction,"warm, communal, everyday","Draws on the house/village as a social center where kinship, food, shelter, and collective decisions converge.",[ʔɔk ɾeˈhe pɨˈhɨk],"kujã ta ʔok rehe pɪhɪk, taʔɪn ta harõ.","ihẽ ʔok rehe apɪhɪk rahã, jane upa katu.","pehẽ ʔok rehe pepɪhɪk, aʔe tĩ muʔe."
pɪtuniwe asak,Adverbial location/time expression + perception verb; idiomatic predicate emphasizing hidden perception.,"To understand what is hidden, unclear, or dangerous before others notice it.",awá maʔe ke jukwahá,C1,warnings; politics; land defense; careful planning; storytelling,"poetic, cautious, strategic","Rooted in forest-night imagery and the need to read tracks, sounds, silence, and intentions carefully.",[pɨtuˈniwe aˈsak],"aʔe pɪtuniwe asak, pe tarũ ɪm oho.","ne pɪtuniwe asak rahã, maʔe panem reho ɪm.","karai riki pandu, ihẽ pɪtuniwe asak tĩ."
Gurupi rupi oho,Proper-name locative route phrase + intransitive verb oho; idiomatic route-as-strategy predicate.,"To choose an indirect but safer path, adapting to circumstances without abandoning the goal.",awá tarũ ɪm rehe oho,B2,travel; diplomacy; negotiations; conflict avoidance; migration narratives,"pragmatic, reflective, historically shaded",References the Gurupi river corridor and Kaʔapor historical movement between Pará and Maranhão.,[ɡuɾuˈpi ɾuˈpi oˈho],"Pe, jane Gurupi rupi jaho, aʔerehe tarũ ɪm.","aʔe Gurupi rupi oho rahã, kamarar ta harõ.","ne Gurupi rupi reho mi, pe maʔe katu resak."
pahar pahar meʔẽ,Reduplicated adverbial modifier + ditransitive verb meʔẽ 'give'; idiomaticized speed/impulse predicate.,"To act too quickly, give away too much, or decide before thinking carefully.",awá nanã ɪm pe maʔe mujã,B1,workplace; trade; family advice; humor; correction of young people,"colloquial, gently critical, humorous","Uses reduplication and exchange imagery found in narrative-style speech, where speed can become comic or risky.",[paˈhaɾ paˈhaɾ meˈʔẽ],"sawaʔe pahar pahar meʔẽ, ajameʔẽ aʔar.","ne pahar pahar meʔẽ ɪm, jane maʔe rehe jasak.","Arauxu pahar pahar meʔẽ rahã, upa ahem uhu."
tatu rape rehe wata,Animal-noun possessive-like path phrase + postposition rehe + intransitive verb; metaphorical motion predicate.,"To pursue a difficult hidden path patiently, especially when success is not immediately visible.",awá maʔe hasɪ rehe wata katu,B2,studying; hunting; farming; problem solving; long projects,"proverbial, patient, encouraging",Uses armadillo imagery and forest-trail tracking as a metaphor for persistence through concealed routes.,[taˈtu ɾaˈpe ɾeˈhe waˈta],"kurumĩ tatu rape rehe wata, maʔe jukwahá pe muʔe.","ihẽ tatu rape rehe awata, pe ʔok amujã tĩ.","aʔe tatu rape rehe wata rahã, panem ɪm."
pɪpɪhu usak,Animal subject + perception verb; compact metaphorical clause functioning as comment or praise.,"To notice details at the right moment, especially quiet signs others overlook.",awá maʔe pirer usak katu,A2,praise; childcare; observation; forest knowledge; jokes about alert people,"playful, admiring, informal","Builds on owl imagery and nocturnal perception, connecting sight, silence, and alertness.",[pɨpɨˈhu uˈsak],"taʔɪn pɪpɪhu usak, imãi riki ahem ɪm.","ne pɪpɪhu usak rahã, maʔe panem remusak.","aʔe pɪpɪhu usak tĩ, pɪtuniwe oho ɪm."
maʔe jukwahá pe meʔẽ ɪm,Negative imperative/prohibitive-like verbal expression: object noun phrase + benefactive pe + verb meʔẽ + negation ɪm.,"Do not pass on harmful words, false counsel, or social poison.",awá pandu panem ɪm,C1,conflict mediation; gossip; leadership; family disputes; moral teaching,"serious, ethical, corrective",Adapts the documented maʔe jukwahá 'poison' expression into a speech-ethics metaphor about words that injure relationships.,[maˈʔe jukwaˈha pe meˈʔẽ ɨm],"ne maʔe jukwahá pe meʔẽ ɪm, jane kamarar harõ.","aʔe maʔe jukwahá pe meʔẽ ɪm rahã, tarũ ɪm.","kujã ta pandu katu, maʔe jukwahá pe meʔẽ ɪm."
kamarar jarusu raho,Plural/common-noun subject + concrete object + transitive verb raho 'take/carry'; cooperative-action clause.,Many people share a heavy responsibility so that no one carries it alone.,upa maʔe raho katu,B1,teamwork; community labor; ceremonies; school projects; organizational planning,"communal, motivational, practical","References collective river movement and corpus-attested canoe imagery, where coordinated effort makes travel possible.",[kamaˈɾaɾ jaɾuˈsu ɾaˈho],"kamarar jarusu raho, jane upa oho tĩ.","pe kamarar jarusu raho rahã, maʔe hasɪ ɪm.","ihẽ kamarar jarusu araho, pehẽ tĩ peharõ."
