Idiom (Kikuyu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kikuyu)",First Example Sentence,Second Example Sentence,Third Example Sentence
Gũtirĩ mũciĩ ũtakĩa thĩna,Negative existential clause with relative verb construction,Every family or community has its own problems.,O mũciĩ ũrĩ na matatizo mawo.,B1,"Daily speech, family discussions, community mediation","Proverbial, neutral, reflective",Traditional Kikuyu proverb emphasizing communal realism about hardship.,ɣũtíɾí mũcíː ũtákíà tʰîːna,"Gũtirĩ mũciĩ ũtakĩa thĩna, nĩguo tũrĩ hamwe gũcokeria ũrĩa ũrĩ mwega.",Wĩ mũnene wa kũigua atĩ gũtirĩ mũciĩ ũtakĩa thĩna.,"Nĩ maũndũ ma muoyo, gũtirĩ mũciĩ ũtakĩa thĩna."
Kũhũthĩra mũciĩ na mĩromo,Infinitive verb phrase with instrumental complement,To cause conflict through gossip or reckless speech.,Kũruta maneno ma kũnyitithania andũ.,B2,"Politics, family disputes, social commentary","Colloquial, cautionary",Rooted in oral culture where speech shapes social harmony.,kũhũθíɾà mũcíː nà míɾómo,Ndũkũhũthĩre mũciĩ na mĩromo ya ũhoro ũtarĩ wa ma.,Aahũthĩrire mũciĩ na mĩromo nginya andũ makĩũrana.,Tigana na kũhũthĩra mũciĩ na mĩromo itarĩ ya wendo.
Gũkũra ta mũtĩ wa mũgumo,Comparative simile structure with particle 'ta',To grow strong and resilient over time.,Gũkũra na hinya na ũhoti.,B1,"Motivation, education, rites of passage","Poetic, inspirational","Refers to the sacred fig tree (mũgumo), symbol of endurance in Kikuyu spirituality.",ɣũkṹɾà tà mũtî wà mũɣúmò,Mwana ũcio akũraga ta mũtĩ wa mũgumo rĩrĩa arĩ na ithomo.,Twĩhoke gũkũra ta mũtĩ wa mũgumo twĩ hamwe.,Gũkũra ta mũtĩ wa mũgumo nĩ kũmenya kwĩyũrũra.
Kũigua ũrĩa mũhĩrĩga ũgũigua,Infinitive clause with embedded relative clause,To feel collective responsibility or shared pain.,Kũigua thĩna hamwe na andũ angĩ.,C1,"Leadership, reconciliation forums","Formal, communal",Draws from Kikuyu communal philosophy of shared identity (ũhĩrĩga).,kũíɣwà ũɾîà mũhîːɾîɣà ũɣũíɣwà,Mũthamaki mwĩrũ akĩigua ũrĩa mũhĩrĩga ũgũigua.,Nĩ wega kũigua ũrĩa mũhĩrĩga ũgũigua mbere ya kũamua.,Tũrĩ hamwe rĩu tũkĩigua ũrĩa mũhĩrĩga ũgũigua.
Kũrĩa matũ ma ngigi,Infinitive phrase with genitive complement,To ignore advice deliberately.,Kũgĩa ta ndũgũigua.,B2,"Parenting, humor, sarcasm","Ironic, humorous",Ngigi (locust) imagery reflects stubborn inattentiveness in agrarian folklore.,kũɾîà mátũ mà ŋɡíɡì,Ndũkũrĩe matũ ma ngigi rĩrĩa wĩheaga ũhoro.,Aarĩ mũndũ wa kũrĩa matũ ma ngigi na ndeto cia atumia.,"Tigana na kũrĩa matũ ma ngigi,igua ũhoro mwega."
Gũtonga na mũtĩ ũrĩa ũtarĩ mĩgũnda,Metaphorical declarative clause,To expect results without effort.,Kũhoya matunda utarĩ wĩra.,C1,"Workplace, economic discourse","Critical, metaphorical",Agricultural metaphor reflecting Kikuyu farming heritage.,ɣũtóŋà nà mũtî ũɾîà ũtáɾî míɣṹnda,Ndũgũtonga na mũtĩ ũrĩa ũtarĩ mĩgũnda.,Andũ angĩ matongaga na mũtĩ ũrĩa ũtarĩ mĩgũnda.,Tũtige gũtonga na mũtĩ ũrĩa ũtarĩ mĩgũnda.
Kũheana mĩhĩrĩga,Reciprocal verb phrase,To reconcile or restore unity.,Kũgĩa na kũcookeria ũrata.,A2,"Family mediation, church gatherings","Neutral, communal",From traditional clan-based dispute resolution rituals.,kũhéànà míhîːɾîɣà,Twĩ hamwe kũheana mĩhĩrĩga thutha wa gũcookania.,Nĩ wega kũheana mĩhĩrĩga mbere ya gũtukũ.,Andũ makĩheana mĩhĩrĩga na thayũ.
Kũigua ta ndũrĩ mũndũ,Comparative clause with negative existential,To feel insignificant or ignored.,Kũigua ta ndũrĩ na mũhĩrĩga.,B1,"Youth expression, emotional discourse","Emotive, introspective",Reflects social belonging as central in Kikuyu worldview.,kũíɣwà tà ndũɾî mṹndũ,Ndĩkũigua ta ndũrĩ mũndũ rĩrĩa ndĩ hamwe na nyũmba ĩno.,Mwana ũcio akĩigua ta ndũrĩ mũndũ thĩinĩ wa kirasi.,"Ndũkũigue ta ndũrĩ mũndũ, wĩ wa mũhĩrĩga."
Gũcokia rũĩ mũciĩ,Infinitive clause with object inversion,To return favor or revenge.,Gũcookeria kĩrĩa watigĩtwo.,B2,"Conflict, storytelling, politics","Serious, narrative",River (rũĩ) imagery symbolizes cycles and return in Kikuyu cosmology.,ɣũcókíà ɾũíː mũcíː,Nĩgũcokia rũĩ mũciĩ rĩrĩa ũheaga ũhoro mũũru.,Aarĩ na ũhoti wa gũcokia rũĩ mũciĩ.,"Tigana na gũcokia rũĩ mũciĩ, heana thayũ."
Kũmena ngoro,Infinitive verb phrase (transitive metaphor),To deeply hurt someone emotionally.,Kũigua mũrimũ wa ngoro.,A2,"Romantic discourse, family issues","Emotional, poetic",Heart (ngoro) central in Kikuyu metaphors of emotion.,kũménà ŋɡóɾó,Ndũkũmene ngoro ya mũndũ ũcio na ndeto ciaku.,Ũhoro ũcio wamenire ngoro yakwa mũno.,Kũmena ngoro nĩ ũndũ ũtarĩ wa wendo.
