Idiom (Saramaccan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Saramaccan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wan anu e wasi di tra anu,Parallel verbal clause with reciprocal semantic structure,People help one another through cooperation and solidarity,Sma mus helpi makandra,B1,"Family life, community work, village cooperation","Colloquial, proverbial, communal",Reflects Maroon communal labor traditions along Suriname rivers,/wãn ãnu e wasi di tɾa ãnu/,"Na busi, wan anu e wasi di tra anu te den e meki oso.",Mi granma taki taki wan anu e wasi di tra anu noiti fadon.,Den mati sori taki wan anu e wasi di tra anu na tesi ten.
Pikin faya e bron bigi oso,Metaphorical declarative clause,Small problems can become major disasters if ignored,Pikin problema kan kon bigi,B2,"Politics, parenting, warnings, social critique","Serious, cautionary",Linked to historical wooden village houses vulnerable to fire,/pikin faja e bɾɔn bigi oso/,A kapiten taki pikin faya e bron bigi oso bika den no yere en.,"Te trobi bigin leki pikin sani, pikin faya e bron bigi oso.",Mi mama e taki dati pikin faya e bron bigi oso ala ten.
Di liba no e go baka,Negative existential verbal structure,Time and life move forward and cannot be reversed,Ten no e drai baka,B2,"Advice, mourning, philosophical reflection","Poetic, reflective",Inspired by river-centered Saramaccan worldview and geography,/di liba no e go baka/,A tata sidon pe a taki di liba no e go baka.,Mi yere dati tori te mi granfada taki di liba no e go baka.,Den pikin musu sabi taki di liba no e go baka.
Bigi ede no meki sabi,Negated causative nominal structure,Power or status does not guarantee wisdom,Suma kan abi makiti ma no sabi,B1,"Leadership, humor, political commentary","Ironic, sarcastic",Used historically to mock arrogant authority figures,/bigi ede no meki sabi/,Den laf te a man taki bigi ede no meki sabi.,Mi granma no lobi suma di denki taki bigi ede meki sabi.,"Na miti, wan uman bari taki bigi ede no meki sabi."
No ala sori e abi watra na ai,Negative quantifier with existential predicate,Not every visible sadness is genuine,Sma kan meki loktu tra sma,C1,"Sarcasm, gossip, emotional interpretation","Ironic, skeptical",Common in oral storytelling and social commentary,/no ala sɔɾi e abi watɾa na ai/,Mi anti taki no ala sori e abi watra na ai te a yere di tori.,Den no ben ferstan taki no ala sori e abi watra na ai.,A uman ben e krin ma no ala sori e abi watra na ai.
"Efu yu hari wan titei troe, a o koti",Conditional clause with future consequence,Pushing something too far leads to damage or collapse,No musu overdu sani,C1,"Warnings, discipline, negotiation","Advisory, metaphorical",Derived from rope and weaving practices in Maroon communities,/efu ju haɾi wãn titei tɾoe a o koti/,"A granman taki efu yu hari wan titei troe, a o koti.","Den ben feti langa te efu yu hari wan titei troe, a o koti.","Mi yere en taki efu yu hari wan titei troe, a o koti na miti."
Wan bon tori e psa langa pasi,Declarative clause with motion metaphor,Good news or wisdom spreads widely and quickly,Bun nyunsu e psa esi,A2,"Storytelling, celebration, village news","Positive, communal",Rooted in oral transmission traditions among river communities,/wãn bɔn tɔɾi e psa laŋga pasi/,"Te den win a preisi, wan bon tori e psa langa pasi.",A nyunsu psa esi bika wan bon tori e psa langa pasi.,"Na ini foto, wan bon tori e psa langa pasi."
Baka moni no e bari pasi,Negative declarative proverb,Wealth alone cannot solve every obstacle,Moni no kan du ala sani,B2,"Economics, ethics, politics","Reflective, moralizing",Associated with traditional critiques of materialism,/baka moni no e baɾi pasi/,A tata taki baka moni no e bari pasi te a lasi en mati.,Den sori taki baka moni no e bari pasi na ini libi.,Mi yere dati baka moni no e bari pasi te mi ben pikin.
"Di san yu sembe, na dati yu o koti",Relative clause with future-result construction,People eventually face consequences of their actions,Yu o kisi baka san yu du,B1,"Morality, parenting, justice","Serious, proverbial",Agricultural metaphor tied to planting and harvesting traditions,/di sãn ju sɛmbe na dati ju o koti/,"Mi mama e taki di san yu sembe, na dati yu o koti.","Den pikin no yere te di san yu sembe, na dati yu o koti.","Na kerki den taki di san yu sembe, na dati yu o koti."
Sabi tide no de sabi tamara,Temporal contrastive proverb,Knowledge and certainty can change over time,San yu sabi now kan seni tamara,C2,"Philosophy, education, politics","Reflective, philosophical",Traditional wisdom emphasizing humility and uncertainty,/sabi tide no de sabi tamaɾa/,A leriman taki sabi tide no de sabi tamara.,Mi granfada e taki sabi tide no de sabi tamara te den e feti.,Den ede sma ben ferstan taki sabi tide no de sabi tamara.
