Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
ۋاقىت ئالتۇندىن قىممەت,مېتافورالىق نام جۈملىسى؛ تەڭشەش قۇرۇلمىسى,ۋاقىت ئىنتايىن قىممەتلىك بولۇپ، ئۇنى ئىسراپ قىلماسلىق كېرەك,ۋاقىتنى قەدىرلەش كېرەك,A2,كۈندىلىك سۆھبەت، تەربىيە، مەكتەپ,ئاددىي، تەربىيەۋى,تۈركى خەلقلەر ئارىسىدا كەڭ تارقالغان ئەخلاقىي مەسەل,[waqɯt altundin qimˈmɛt],دادام دائىم ۋاقىت ئالتۇندىن قىممەت دەپ بىزنى ۋاقتىمىزنى بىكارغا ئۆتكۈزمەسلىككە ئۈندەيدۇ.,ئوقۇتقۇچىمىز ۋاقىت ئالتۇندىن قىممەت دېدى ۋە دەرسنى ۋاقتىدا باشلىدى.,ئۇ ئىشنى تېز تاماملىدى، چۈنكى ۋاقىت ئالتۇندىن قىممەت ئىكەنلىكىنى بىلىدۇ.
بىر قولنىڭ ئاۋازى چىقماس,تەسۋىرلەش جۈملىسى؛ ئىنكارلىق قۇرۇلما,بىر ئادەم يالغۇز بولسا چوڭ ئىشنى قىلالمايدۇ,ھەمكارلىق زۆرۈر,B1,ئىش، جەمئىيەت، گۇرۇپپا خىزمىتى,مېتافورالىق، ئەخلاقىي,تۈركى مەدەنىيىتىدە ھەمكارلىقنى تەشۋىق قىلىدىغان مەسەل,[bir qɔlniŋ awaˈzi tʃiqmas],بىز بۇ تۈرنى بىرلىكتە قىلىشىمىز كېرەك، بىر قولنىڭ ئاۋازى چىقماس.,ئۇ دوستلىرىغا ياردەم سورىدى، چۈنكى بىر قولنىڭ ئاۋازى چىقماس.,باشلىقىمىز گۇرۇپپىغا قاراپ بىر قولنىڭ ئاۋازى چىقماس دېدى.
سۇغا چۈشكەن چاقچاق بولماس,مۇقىم جۈملە؛ ئىنكارلىق بايان,بەزى ئەھۋاللاردا چاقچاق قىلىش مۇۋاپىق ئەمەس,جىددىي ۋاقىتتا چاقچاق قىلماسلىق كېرەك,B2,كۈندىلىك تۇرمۇش، جىددىي ۋەزىيەت,ھېكمەتلىك، ئاگاھلاندۇرۇش,خەلق ئارىسىدىكى كۈندىلىك تۇرمۇش تەجرىبىسىدىن كەلگەن,[suʁa tʃyʃkæn tʃaqtʃaq bolmas],ئۇنىڭ قىيىنچىلىقىنى كۆرۈپ سۇغا چۈشكەن چاقچاق بولماس دېدىم.,دوستۇم كۈلۈپ قويدى، مەن بولسا سۇغا چۈشكەن چاقچاق بولماس دېدىم.,باشلىق جىددىي ۋاقىتتا سۇغا چۈشكەن چاقچاق بولماس دەپ ئەسكەرتتى.
ئەقىل ئىشنىڭ يولىنى ئاچىدۇ,بايان جۈملىسى؛ سەۋەپ-نەتىجە مەنىسى,دانالىق ۋە ئويلىنىش قىيىن مەسىلىلەرنى ھەل قىلىدۇ,ئەقىللىق ئادەم مەسىلىنى ھەل قىلالايدۇ,B1,تەربىيە، رەھبەرلىك، سۆھبەت,ئەخلاقىي، تەربىيەۋى,تۈركى خەلق ئەدەبىياتىدىكى دانالىق مەسەللىرى,[ɛqil iʃniŋ jolini aːtʃidu],ئۇ قىيىن مەسىلىنى ئەقىل ئىشنىڭ يولىنى ئاچىدۇ دېگەن ئىشەنچ بىلەن ھەل قىلدى.,ئوقۇتقۇچىمىز ئەقىل ئىشنىڭ يولىنى ئاچىدۇ دەپ بىزنى ئويلىنىشقا ئۈندەيدۇ.,دادام دائىم ئەقىل ئىشنىڭ يولىنى ئاچىدۇ دەپ نەسىھەت قىلىدۇ.
تېرىقچى تەر تۆكسە مېۋە يېيدۇ,شەرت-نەتىجە قۇرۇلمىسى,تىرىشچان ئادەم ئاخىرىدا مۇكاپاتقا ئېرىشىدۇ,تىرىشساڭ نەتىجە بولىدۇ,A2,مەكتەپ، تەربىيە، خىزمەت,تەربىيەۋى,دېھقانچىلىق تۇرمۇشىدىن كەلگەن خەلق مەسەل,[tɛriqtʃi tɛr tøkˈsɛ mewɛ jedu],ئانام ماڭا تېرىقچى تەر تۆكسە مېۋە يېيدۇ دەپ ئۈندەيدۇ.,ئۇ تىرىشىپ ئوقۇدى، چۈنكى تېرىقچى تەر تۆكسە مېۋە يېيدۇ.,ئۇستازىمىز تېرىقچى تەر تۆكسە مېۋە يېيدۇ دېدى.
ياخشى دوست قىيىن كۈندە بىلنىدۇ,بايان جۈملىسى,ھەقىقىي دوست قىيىن ۋاقىتتا ياردەم قىلىدۇ,راست دوست قىيىن ۋاقىتتا ياردەم قىلىدۇ,A2,دوستلۇق، تۇرمۇش,ھېكمەتلىك,تۈركى خەلق مەدەنىيىتىدىكى دوستلۇق قىممىتى,[jaxʃi dost qijin kyndɛ bilˈnidu],ئۇ ماڭا ياردەم قىلدى، شۇنداقتا ياخشى دوست قىيىن كۈندە بىلنىدۇ دېگەن گەپنى چۈشەندىم.,دادام ياخشى دوست قىيىن كۈندە بىلنىدۇ دەپ نەسىھەت قىلدى.,دوستۇم ماڭا ياردەم قىلغاندا بۇ مەسەلنى ئەسلەپ قالدىم.
تېز قىلغان ئىش خاتا بولىدۇ,بايان جۈملىسى,بەك ئالدىراپ قىلىنغان ئىش خاتالىققا يول ئاچىدۇ,ئالدىراشماي ئىشلەش كېرەك,A2,كۈندىلىك سۆھبەت، خىزمەت,تەربىيەۋى,كۈندىلىك تەجرىبىدىن كەلگەن خەلق ھېكمىتى,[tez qilʁan iʃ xata bolidu],ئۇ خىزمەتنى تېز قىلدى، ئەمما تېز قىلغان ئىش خاتا بولىدۇ.,ئوقۇتقۇچىمىز تېز قىلغان ئىش خاتا بولىدۇ دەپ ئەسكەرتتى.,مەن ئالدىراپ خاتالىق قىلدىم، چۈنكى تېز قىلغان ئىش خاتا بولىدۇ.
بىلىم بايلىقتىن ئۈستۈن,تەڭشەش قۇرۇلمىسى,بىلىم ماددىي بايلىقتىنمۇ قىممەتلىك,بىلىم ناھايىتى قىممەتلىك,A1,تەربىيە، مەكتەپ,تەربىيەۋى,تۈركى خەلق مەدەنىيىتىدە بىلىمگە بولغان ھۆرمەت,[bilim bajliqten ystyn],ئۇ بىلىم بايلىقتىن ئۈستۈن دەپ كۆپ ئوقۇيدۇ.,دادام بىلىم بايلىقتىن ئۈستۈن دەپ بىزنى ئوقۇشقا ئۈندەيدۇ.,ئوقۇتقۇچىمىز بىلىم بايلىقتىن ئۈستۈن دېدى.
سەۋر قىلغان مۇۋەپپەقىيەت قازىنىدۇ,شەرت-نەتىجە جۈملىسى,سەۋرچان ئادەم ئاخىرىدا مۇۋەپپەقىيەتكە ئېرىشىدۇ,سەۋرچان بولساڭ مۇۋەپپەقىيەت قازىنىسىڭ,B1,تەربىيە، تۇرمۇش,ھېكمەتلىك,ئىسلامىي ۋە تۈركى ئەخلاقىي ئەدەبىيات تەسىرى,[sæwr qilʁan muwæppæqijæt qaziniˈdu],ئۇ ئۇزۇن ۋاقىت تىرىشتى، چۈنكى سەۋر قىلغان مۇۋەپپەقىيەت قازىنىدۇ.,ئۇستازىمىز سەۋر قىلغان مۇۋەپپەقىيەت قازىنىدۇ دەپ ئۈندەيدۇ.,دادام بۇ مەسەلنى دائىم ئەسلەتتى.
ئۆگىنىشنىڭ چېكى يوق,بايان جۈملىسى,بىلىم ئۆگىنىش ھېچقانداق چەك بىلەن چەكلەنمەيدۇ,ھەر ۋاقىت يېڭى نەرسىلەرنى ئۆگىنىشكە بولىدۇ,A1,تەربىيە، ئوقۇش,تەربىيەۋى,ئۇيغۇر ۋە تۈركى خەلق مەدەنىيىتىدىكى بىلىمگە بولغان قاراش,[øɡiniʃniŋ tʃeki joq],ئۇ ئۆگىنىشنىڭ چېكى يوق دەپ ھەر كۈنى كىتاب ئوقۇيدۇ.,ئوقۇتقۇچىمىز ئۆگىنىشنىڭ چېكى يوق دېدى.,دادام ماڭا ئۆگىنىشنىڭ چېكى يوق دەپ نەسىھەت قىلىدۇ.
