Idiom (Kven Finnish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kven Finnish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Sisu vie perille,"Fixed clause with subject-verb-object, declarative mood",Persistence and inner strength will help overcome difficulties.,"Jos on tarpeeksi päättäväinen, onnistuu.",B1,"Motivational speech, daily life, sports","Colloquial, motivational","Rooted in Finnish and Kven concept of 'sisu', denoting resilience and endurance.",[ˈsisu ˈvie ˈperille],"Vaikka tie oon pitkä, sisu vie perille.","Hän ei antanu periksi, koska sisu vie perille.","Silloin kun väsyttää, muista: sisu vie perille."
Ei kala koukkuhun hypi ilman syöttiä,Negative declarative clause with conditional structure,Nothing happens without effort or incentive.,Pitää tehä jotakin saadakseen tuloksia.,B2,"Workplace, advice, economy, humor","Colloquial, ironic",Draws from fishing culture of northern Finland and Kven traditions.,[ei ˈkɑlɑ ˈkoukːuhun ˈhypi ˈilmɑn ˈsøːttiæ],"Ei kala koukkuhun hypi ilman syöttiä, sie tiijät sen.","Jos haluat onnistua, muista että ei kala koukkuhun hypi ilman syöttiä.","Hän nauroi ja sanoi: ei kala koukkuhun hypi ilman syöttiä, ystävä hyvä."
Parempi pyy pivossa kuin kymmenen oksalla,Comparative clause with partitive case usage,Better to value what you have than to chase uncertain things.,On parempi olla tyytyväinen siihen mitä on.,A2,"Wisdom, daily speech, family advice","Proverbial, neutral",Old Nordic proverb carried into Kven Finnish oral tradition.,[ˈpɑrempi ˈpyː ˈpivosːɑ kuin ˈkymːenen ˈoksɑlːɑ],"Parempi pyy pivossa kuin kymmenen oksalla, niin mummo aina sanoi.","Se muistutti minua, että parempi pyy pivossa kuin kymmenen oksalla.","Lapset oppi, että parempi pyy pivossa kuin kymmenen oksalla."
Ei oo kaikki kotona,Negative copular clause with idiomatic subject,Someone is a bit strange or not thinking clearly.,Hän käyttäytyy oudosti.,B2,"Humor, sarcasm, informal speech","Colloquial, humorous",Common Scandinavian idiom implying lighthearted critique of someone’s logic.,[ei oː ˈkɑikːi ˈkotonɑ],Mie luulen ettei sillä oo kaikki kotona.,"Kun se puhhu niin, ajattelin ettei oo kaikki kotona.","He nauroivat, 'ei sillä oo kaikki kotona'."
Kuin kala kuivalla maalla,Simile using comparative structure 'kuin',Feeling uncomfortable or out of place.,Tuntuu epämukavalta tilanteessa.,B1,"Workplace, new situations, emotion description","Neutral, descriptive",Derived from fishing life of northern coastal communities.,[kuin ˈkɑlɑ ˈkujvɑlːɑ ˈmɑːlːɑ],Mie olin kuin kala kuivalla maalla siinä juhlassa.,Se näytti olevan kuin kala kuivalla maalla.,Uudessa työssä hän oli aluksi kuin kala kuivalla maalla.
Ottaa nokkaansa,Reflexive verb phrase with idiomatic object,To get offended or take something personally.,Suututtaa helposti.,B2,"Interpersonal relations, family, workplace","Colloquial, emotional",Common idiom in northern dialects meaning 'to take to heart'.,[ˈotːɑː ˈnokːɑnsɑ],"Älä ota nokkaasi, se oli vain vitsi.","Hän otti nokkaansa, vaikka en tarkoittanu pahaa.",Mie en halua että sie otat nokkaasi.
Mennä kuin kuumille kiville,Infinitive phrase with comparative simile,"To leave or move quickly, often in a hurry.",Lähteä nopeasti.,B1,"Humor, storytelling, family, daily speech","Colloquial, humorous",Refers to heat of sauna stones and the instinct to move fast away from them.,[ˈmenːæ kuin ˈkuːmilːe ˈkivilːe],Lapset lähti kuin kuumille kiville kun ruoka valmistui.,Se juoksi pois kuin kuumille kiville.,Kaikki katos kuin kuumille kiville kun sade alko.
Pitää päänsä,Refinitive clause with possessive suffix,To stand one’s ground or insist on one’s opinion.,Ei luovu mielipiteestään.,B2,"Debate, workplace, family discussions","Neutral, firm",Traditional Nordic value emphasizing determination and self-respect.,[ˈpitæː ˈpæːnsæ],"Hän piti päänsä, vaikka kaikki oli vastaan.",Mummo aina piti päänsä kun päätös oli tehty.,"Jos sie uskot itseesi, pidä päänsi."
Juosta pää kolmantena jalkana,Verb phrase with hyperbolic metaphor,"To run or move extremely fast, usually in a rush.",Juosta todella nopeasti.,B1,"Daily life, humor, storytelling","Colloquial, humorous",Widespread Northern expression denoting frantic haste.,[ˈjuostɑ ˈpæː ˈkolmɑnːenɑ ˈjɑlkɑnɑ],Se juoksi pää kolmantena jalkana asemalle.,Mie tulin tänne pää kolmantena jalkana.,Lapset juoksi kotiin pää kolmantena jalkana kun satoi.
Aika tavaran kaupitsee,Declarative proverb with genitive-subject structure,Everything finds its place or value in time.,Kaikelle tulee aikanaan käyttö.,C1,"Philosophical, wisdom, literature","Literary, reflective",Ancient Finnish-Kven proverb meaning patience reveals value.,[ˈɑikɑ ˈtɑvɑrɑn ˈkɑupitseː],"Aika tavaran kaupitsee, sano vanha mies torilla.","Älä huoli, aika tavaran kaupitsee aina.","Kuten sanothaan, aika tavaran kaupitsee."
