Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ukudla inja ngomlomo,Infinitive verb phrase (uku- + verb + object + instrumental phrase); fixed metaphorical construction,To boast or speak arrogantly without substance or proof.,Ukukhuluma ngokuzikhakhazisa ngaphandle kobufakazi.,B2,"Daily speech, youth discourse, political commentary, humor","Colloquial, ironic",Rooted in agrarian Cham humor where exaggeration was mocked through animal imagery.,ukúːɮa íɲa ŋómːlɔmɔ,"Ungasikhohlisi, uyadla inja ngomlomo nje kuphela.",Abapolitiki abanengi badla inja ngomlomo ngesikhathi somkhankaso.,UThabo udla inja ngomlomo kodwana akenzi lutho.
Ukubamba umoya,Infinitive verb phrase; transitive verb + object; metaphorical fixed clause,To endure patiently under difficult circumstances.,Ukubekezela ebunzimeni.,B1,"Family advice, workplace resilience, motivational speech","Neutral, encouraging",Linked to traditional endurance during initiation and communal hardship.,ukúbámbá umója,"Bamba umoya, izinto zizakulunga.",Umama wangifundisa ukubamba umoya nangeenkathi ezinzima.,Abasebenzi babambe umoya ngesikhathi sokudilizwa.
Ukutshaya ihlombe elingelalutho,Infinitive verb phrase; verb + object + relative qualifier; descriptive metaphor,To celebrate prematurely without achievement.,Ukujabula kungakabi nesizathu esiqinile.,C1,"Politics, academic results, public ceremonies","Ironic, cautionary",Derived from communal dancing traditions where clapping symbolized confirmed success.,ukút͡ʃʰája iɬɔmbé eŋɡelálutʰo,"Ungakatshayi ihlombe elingelalutho, imiphumela ayikaphumi.",Bona batshaya ihlombe elingelalutho ngemva kwesithembiso esingagcwalisekanga.,Kuyingozi ukutshaya ihlombe elingelalutho ebhizinisini.
Ukugibela ihhashi elidlayo,Infinitive verb phrase; verb + object + descriptive clause,To align oneself with someone who is successful or powerful.,Ukusekela umuntu onamandla noma ophumelelayo.,B2,"Politics, business alliances, social dynamics","Colloquial, pragmatic",Horse imagery reflects status and mobility in pre-colonial chiefdoms.,ukúɡíbélá iɦáʃi elidléjo,Abantu abanengi bagibela ihhashi elidlayo ngesikhathi sokhetho.,Wagibela ihhashi elidlayo ukuze athole umsebenzi.,Akusizi ukugibela ihhashi elidlayo ungazimisele ukusebenza.
Ukuphosa amehlo phezulu,Infinitive verb phrase; verb + object + locative adverb,To show contempt or dismissive arrogance.,Ukubonisa ukungahloniphi noma ukuzidla.,B1,"Family disputes, youth interactions, satire","Colloquial, critical",Gesture-based idiom reflecting body language in oral storytelling.,ukúpʰɔsá améɦlɔ pʰézulu,Ungaphosi amehlo phezulu uma ukhuluma nabadala.,Waphosa amehlo phezulu sengathi akalaleli.,Abafundi baphosa amehlo phezulu ngesikhathi sokululekwa.
Ukubeka izandla phansi,Infinitive verb phrase; verb + object + locative adverb,To surrender or admit defeat.,Ukuyeka noma ukuvuma ukuhlulwa.,A2,"Sports, debates, family arguments",Neutral,Symbolic of stopping manual labor or combat gesture.,ukúbéká izándla pʰansi,Ekugcineni wabeka izandla phansi wavuma iphutha.,Iqembu labeka izandla phansi ngemva kokuhlulwa.,Akafuni ukubeka izandla phansi noma sekucacile.
Ukukhwela phezu kwehloko,Infinitive verb phrase; verb + locative phrase,To dominate or control someone excessively.,Ukulawula umuntu ngokweqile.,C1,"Marriage discourse, politics, workplace hierarchy","Critical, metaphorical",Head symbolizes authority in Cham cosmology and respect systems.,ukúkʰwélá pʰézu kweɬóko,Ungakhweli phezu kwehloko yomuntu omdala.,Umphathi ukhwele phezu kwehloko zabasebenzi.,Akulungile ukukhwela phezu kwehloko yomngani wakho.
Ukudla amabele,Infinitive verb phrase; verb + plural object; metaphorical,To reap benefits after effort or hardship.,Ukuvuna imiphumela yomsebenzi.,B2,"Agriculture, education success, entrepreneurship","Positive, proverbial",Maize cultivation central to Cham subsistence and symbolism of reward.,ukúːɮa amábélé,Sekuyisikhathi sokudla amabele ngemva komsebenzi omude.,Abafundi badla amabele ngemva kokuphumelela.,Uzodla amabele uma uqhubeka nokuzimisela.
Ukufaka umlilo emanzini,Infinitive verb phrase; verb + object + locative complement; paradoxical metaphor,To create unnecessary conflict or tension.,Ukudala ingxabano engadingekile.,C2,"Politics, community meetings, satire","Sarcastic, literary",Paradox imagery common in praise poetry and oral rhetoric.,ukúfáká umlílo emánzini,Ungafaki umlilo emanzini lapho kunokuthula.,Abanye bathanda ukufaka umlilo emanzini emhlanganweni.,Ukufaka umlilo emanzini akusizi emphakathini.
Ukubona ngelihlo lenhliziyo,Infinitive verb phrase; verb + instrumental phrase; poetic metaphor,To understand deeply with empathy and intuition.,Ukuqonda ngokujulile nangemizwa.,C1,"Literature, spiritual discourse, counseling","Poetic, reflective",Reflects Cham spiritual worldview linking heart and perception.,ukúbɔ́na ŋɡélíɬɔ lénɬizíjo,Umfundisi wasifundisa ukubona ngelihlo lenhliziyo.,Kufanele sibone ngelihlo lenhliziyo ngaphambi kokwahlulela.,Wabona ngelihlo lenhliziyo ubuhlungu bakhe.
