Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Nhãpyru atxĩ kataru,Fixed verbal clause (intransitive verb + locative complement),To remain silent or emotionally withdrawn during tension.,Remain quiet and avoid participating.,B1,"Family discussions, conflict avoidance, community meetings","Colloquial, neutral",Linked to communal council practices along the Purus River where silence signals restraint and reflection.,[ɲãˈpɨɾu aˈtʃĩ kaˈtaɾu],Nhãpyru atxĩ kataru txipukyry situãne.,Atha nhãpyru atxĩ kataru maãne ukyry.,Ywa nhãpyru atxĩ kataru kirĩne.
Kỹkãpe ãkiti pãte,Nominal metaphor phrase (body-part noun + directional verb),To act impulsively without foresight.,Act without thinking.,A2,"Daily speech, humor, youth conversations","Colloquial, humorous",Derived from traditional hunting practices where rash movement could scare prey.,[kɨ̃ˈkãpe ãkiˈti ˈpãte],Kỹkãpe ãkiti pãte nhãne txipuru.,Ipi kỹkãpe ãkiti pãte situãne.,Uka kỹkãpe ãkiti pãte awĩne.
Atxĩne karũ wapyry,Descriptive predicate (adverbial + verb compound),To exaggerate a story dramatically.,Tell an exaggerated story.,B2,"Storytelling, literature, humor","Playful, ironic",Associated with oral narrative traditions in Cham storytelling gatherings.,[aˈtʃĩne kaˈɾũ waˈpɨɾɨ],Ywa atxĩne karũ wapyry situãne.,Atha atxĩne karũ wapyry kirĩne.,Txipukyry atxĩne karũ wapyry ukyry.
Pĩkary peẽ nhipuku,Possessive metaphor construction,To carry hidden resentment.,Hold a grudge.,B2,"Family, politics, interpersonal disputes","Serious, reflective",Connected to concepts of communal harmony and unresolved disputes in river communities.,[pĩˈkaɾɨ peˈẽ nʲiˈpuku],Ipi pĩkary peẽ nhipuku situãne.,Atha pĩkary peẽ nhipuku kirĩne.,Ywa pĩkary peẽ nhipuku ukyry.
Tĩkary ũkã txini,Compound noun + verb expression,To lose control emotionally.,Become overwhelmed with emotion.,B1,"Family disputes, grief, public speeches","Emotional, expressive",Reflects river imagery where strong currents symbolize emotional overflow.,[tĩˈkaɾɨ ũˈkã ˈtʃini],Ywa tĩkary ũkã txini situãne.,Atha tĩkary ũkã txini kirĩne.,Ipi tĩkary ũkã txini ukyry.
Nhãtĩ pũkary mãne,Fixed clause (noun + transitive verb),To spread rumors quietly.,Gossip secretly.,B1,"Village life, humor, social commentary","Colloquial, ironic",Tied to communal information networks in forest settlements.,[ɲaˈtĩ pũˈkaɾɨ ˈmãne],Atha nhãtĩ pũkary mãne situãne.,Ipi nhãtĩ pũkary mãne kirĩne.,Ywa nhãtĩ pũkary mãne ukyry.
Karũne ipi atã,Verb phrase with reflexive nuance,To boast excessively.,Brag a lot.,A2,"Youth speech, humor, rivalry","Playful, sarcastic",Linked to traditional competitive storytelling among young hunters.,[kaˈɾũne iˈpi aˈtã],Ipi karũne ipi atã situãne.,Atha karũne ipi atã kirĩne.,Ywa karũne ipi atã ukyry.
Pãkiti nhãne wãkary,Metaphorical noun phrase + stative verb,To feel deep nostalgia.,Miss something greatly.,C1,"Literature, migration narratives, ceremonial speech","Poetic, reflective",Associated with displacement histories along the Purus basin.,[pãkiˈti ɲaˈne wãˈkaɾɨ],Ywa pãkiti nhãne wãkary situãne.,Atha pãkiti nhãne wãkary kirĩne.,Ipi pãkiti nhãne wãkary ukyry.
Ũkã kataru txapy,Imperative-root idiomatic construction,To face consequences bravely.,Accept responsibility courageously.,B2,"Leadership, politics, family discipline","Serious, motivational",Reflects warrior ethos in historical inter-community alliances.,[ũˈkã kaˈtaɾu ˈtʃapɨ],Atha ũkã kataru txapy situãne.,Ipi ũkã kataru txapy kirĩne.,Ywa ũkã kataru txapy ukyry.
Txini pãte nhãkary,Metaphorical clause (verb + directional complement),To let anger go gradually.,Calm down slowly.,B1,"Family mediation, counseling, ritual reconciliation","Reflective, calming",Inspired by river flow metaphors used in reconciliation ceremonies.,[ˈtʃini ˈpãte ɲaˈkaɾɨ],Ywa txini pãte nhãkary situãne.,Atha txini pãte nhãkary kirĩne.,Ipi txini pãte nhãkary ukyry.
