Idiom (Bororo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bororo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Boe mugu pado,Fixed nominal clause with subject + stative predicate,To pretend to be strong while hiding weakness.,"E boe mugu, ma e pado kedu.",B2,"Daily speech, family disputes, political commentary","Colloquial, ironic",Refers to traditional warrior ethos where bravery was publicly performed.,ˈbo.e ˈmu.gu ˈpa.do,"E boe mugu pado, ma e kedu irore.",Imedu boe mugu pado rogu tagu.,"Boe mugu pado ka, e jure."
Irore jure rogu,Verb phrase with active transitive structure,To speak beautifully but say nothing meaningful.,E jure rogu ma kedu.,C1,"Humor, public speeches, storytelling","Sarcastic, humorous",Used historically for leaders who avoided direct answers.,iˈro.re ˈʒu.re ˈro.gu,E irore jure rogu ma boe kedu.,Imedu irore jure rogu tagu.,Irore jure rogu ka mugu.
Kedu mugu tagu,Descriptive clause with adjective-like stative verb,To act innocent while being responsible.,E kedu ma e mugu tagu.,B1,"Family, school, humor",Colloquial,Common in village storytelling traditions.,ˈke.du ˈmu.gu ˈta.gu,E kedu mugu tagu rogu pado.,Imedu kedu mugu tagu ka.,Kedu mugu tagu ma e irore.
Pado boe jure,Metaphorical verb phrase,To exaggerate a small issue.,E jure boe ma pado irore.,B2,"Politics, daily complaints",Ironic,Linked to ritual chants where repetition amplified meaning.,ˈpa.do ˈbo.e ˈʒu.re,E pado boe jure rogu kedu.,Imedu pado boe jure ma mugu.,Pado boe jure ka e tagu.
Mugu rogu kedu,Predicate clause with stative verb,To feel ashamed after being exposed.,E mugu kedu ma rogu.,B1,"Social correction, family contexts",Neutral,Associated with communal accountability norms.,ˈmu.gu ˈro.gu ˈke.du,E mugu rogu kedu ma irore.,Imedu mugu rogu kedu ka.,Mugu rogu kedu e boe.
Tagu pado mugu,Sequential verb construction,To rush into action without thinking.,E tagu ma pado mugu.,C1,"Youth speech, warnings","Colloquial, cautionary",Reflects hunting culture where haste caused danger.,ˈta.gu ˈpa.do ˈmu.gu,E tagu pado mugu rogu jure.,Imedu tagu pado mugu ka.,Tagu pado mugu ma kedu.
Jure kedu boe,Descriptive idiomatic clause,To flatter someone excessively.,E jure boe ma kedu.,B2,"Workplace, courtship, humor","Humorous, ironic",Derived from ceremonial praise songs.,ˈʒu.re ˈke.du ˈbo.e,E jure kedu boe rogu tagu.,Imedu jure kedu boe ma pado.,Jure kedu boe ka mugu.
Kai mugu rogu,Interjection + predicate structure,To hesitate repeatedly.,E kai ma mugu rogu.,A2,"Daily speech, informal talk",Colloquial,Reflects hesitation in communal decision-making.,ˈkai ˈmu.gu ˈro.gu,E kai mugu rogu ma kedu.,Imedu kai mugu rogu ka.,Kai mugu rogu e irore.
Boe tagu jure,Metaphorical compound predicate,To boast loudly about small achievements.,E boe jure ma tagu.,B2,"Humor, peer interaction",Sarcastic,Associated with playful rivalry among youth.,ˈbo.e ˈta.gu ˈʒu.re,E boe tagu jure rogu pado.,Imedu boe tagu jure ma kedu.,Boe tagu jure ka mugu.
Iku pado kedu,Fixed clause with emotive stative verb,To lose courage at the last moment.,E iku ma pado kedu.,C2,"Narratives, oral history","Literary, dramatic",Linked to warrior initiation tales.,ˈi.ku ˈpa.do ˈke.du,E iku pado kedu rogu mugu.,Imedu iku pado kedu ka.,Iku pado kedu ma irore.
