Idiom (Phrygian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Phrygian)",First Example Sentence,Second Example Sentence,Third Example Sentence
βεκος εν καρδιαι,Fixed nominal-prepositional phrase: noun + preposition-like particle + dative singular noun; functions adverbially as a predicate complement.,"Something is held dearly, remembered with affection, or treated as emotionally central.",το αγαπητον εστιν.,A2,"family, friendship, memory, everyday praise","warm, colloquial-poetic","Built on βεκος, the famous Phrygian word for bread, extended metaphorically from daily nourishment to emotional sustenance in Anatolian household speech.",/bekos en kardi.ai/,ταν ματεραν βεκος εν καρδιαι εχω.,οροαν πατηρ βεκος εν καρδιαι λεγει.,ευκιν αγαθην βεκος εν καρδιαι εσταται.
λιον εις θυραν ουκ αγειν,Negative infinitival proverb: object noun + directional phrase + negated infinitive; used as a complete sentential maxim.,Do not invite danger or trouble into a safe place.,κινδυνον μη προσαγε.,B1,"warnings, household advice, politics, risk management","proverbial, cautionary","Uses the Anatolian prestige image of the lion as force and kingship; the doorway evokes home, tomb, and civic boundary in Phrygian inscriptions.",/li.on eis tʰyran uːk aɡeːn/,"μη τον λιον εις θυραν ουκ αγειν, εφη ο γερον.",εν αγοραι φιλος λιον εις θυραν ουκ αγειν μανθανει.,"οταν ερις αυξανη, λιον εις θυραν ουκ αγειν χρη."
μητρας λιθον κινειν,Verbal idiom with divine genitive: genitive proper noun + accusative object + infinitive verb.,"To attempt something sacred, risky, or beyond ordinary human authority.",μεγα και επικινδυνον εργον επιχειρειν.,B2,"religion, ambition, politics, literature","elevated, reverent, dramatic","Refers to Μητρα, the Phrygian mother-goddess later associated with Cybele; moving her stone suggests disturbing sacred power.",/meːtras litʰon kineːn/,βας μητρας λιθον κινειν ουκ ετολμησεν.,ο νεος ανηρ μητρας λιθον κινειν ηθελεν.,εν βουλαι ου παντες μητρας λιθον κινειν δυνανται.
κορυβαντος κροτον εχειν,Possessive verbal phrase: genitive singular noun + accusative object + finite verb; predicate of temperament or event.,"To be loud, ecstatic, disorderly, or full of feverish excitement.",θορυβωδης και ατακτος ειναι.,B2,"festivals, crowds, satire, workplace humor","humorous, vivid, slightly mocking","Draws on the Corybantes, ecstatic attendants of the mother-goddess whose ritual noise and dance were famous in Anatolia and the Greek world.",/korybantos kroton ekʰeːn/,η αγορα σημερον κορυβαντος κροτον εχει.,παιδες εν οικω κορυβαντος κροτον ειχον.,"οταν οι αυλοι ηχωσι, παν το χωριον κορυβαντος κροτον εχει."
αργου σκιαν διωκειν,Infinitival metaphor: genitive place-name/noun + accusative abstract object + infinitive verb.,"To chase an illusion, rumor, or impossible gain.",ματαιον πραγμα ζητειν.,B1,"trade, advice, storytelling, criticism","ironic, proverbial",Uses αργου as an Anatolian-sounding place or territory marker; the shadow image fits rural daylight travel and marketplace exaggeration.,/arɡu skian di.oːkeːn/,ου σοφος εστιν αργου σκιαν διωκειν.,εμπορος ψευδη ακουσας αργου σκιαν διωκει.,εν οδω μακραι αργου σκιαν διωκειν κοπον φερει.
δακαρεν ως πατερες,Comparative clause: finite past plural verb + comparative particle + nominative plural noun.,"They gave generously, behaved nobly, or acted with ancestral dignity.",γενναιως εδωκαν η επραξαν.,B1,"praise, ceremonies, donations, community life","honorific, communal","Based on attested-looking Phrygian forms such as δακαρεν and πατερης; evokes lineage, gift-giving, and public remembrance in inscriptions.",/dakaren oːs pateres/,εν εορται οι ανδρες δακαρεν ως πατερες.,τοις ξενοις δακαρεν ως πατερες και χαριν ελαβον.,"ο δημος μικρος ην, αλλα δακαρεν ως πατερες."
ουεβαν κε δουμε ζευγνυναι,Coordinated infinitival construction: accusative noun + conjunction + dative noun + infinitive verb; expresses practical alignment.,To connect promise with obligation; to make words match duties.,λογον και εργον συμφωνον ποιειν.,C1,"law, contracts, professional speech, ethics","formal, juridical, moralizing","Echoes inscriptional legal and dedicatory language, where gift, vow, and duty often appear as socially binding acts.",/weban ke dume zeuɡnynai/,γραμματευς ουεβαν κε δουμε ζευγνυναι κελευει.,χωρις μαρτυρων ουεβαν κε δουμε ζευγνυναι χαλεπον.,ορχος αγαθος ουεβαν κε δουμε ζευγνυναι δεικνυσι.
ταν ειξα υψοδαν ποιειν,Demonstrative object phrase + adverb + infinitive verb; productive metaphor for elevation or exaggeration.,"To exaggerate a matter, elevate a small issue, or make something seem grander than it is.",πραγμα υπερβαλλοντως μεγαλυνειν.,B2,"argument, storytelling, politics, criticism","ironic, analytic",Uses attested-looking sequence ταν ειξα υψοδαν from Phrygian-style inscriptional material; height becomes a metaphor for inflated importance.,/tan ei̯ksa hypsodan poieːn/,ρητωρ ταν ειξα υψοδαν ποιει και τον δημον πειθει.,μη ταν ειξα υψοδαν ποιει εν μικραι εριδι.,η μητηρ εγνω οτι παις ταν ειξα υψοδαν ποιει.
κεραυνου σιγην φυλασσειν,Genitive metaphor with accusative object and infinitive/finite verb; paradoxical image used as a character description.,"To conceal intense anger, power, or danger under outward calm.",θυμον κρυπτειν και ησυχον φαινεσθαι.,C1,"diplomacy, family tension, literature, negotiation","poetic, restrained, ominous",Combines storm imagery from Anatolian highland weather with the social value of controlled public speech before elders or assemblies.,/keraunou siɡeːn pylasseːn/,ο βασιλευς κεραυνου σιγην φυλασσει προ της μαχης.,"η γυνη κεραυνου σιγην φυλασσει, αλλα παντες φοβουνται.",εν συνεδριω σοφος κεραυνου σιγην φυλασσει.
ενσταρνα φωνην αναρος,Elliptical fixed clause: finite/past verbal form + accusative object + genitive noun; used as a judgment formula.,"A person has spoken with full authority, courage, or public consequence.",ισχυρως και υπευθυνως ελαλησεν.,C2,"oratory, legal testimony, epic narration, public oath","literary, solemn, authoritative",Draws on inscriptional-style forms such as ενσταρνα and αναρ; the phrase frames speech as a completed public deed rather than mere sound.,/enstarna pʰoːneːn anaros/,εν βουλαι ο πρεσβυς ενσταρνα φωνην αναρος.,μαρτυς αληθης ενσταρνα φωνην αναρος ουκ εκρυψεν.,ποιητης περι πολεως ενσταρνα φωνην αναρος εγραψεν.
