Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
ขี่ช้างจับตั๊กแตน,"Verb phrase (V + N + V + N), serial verb construction, fixed idiomatic clause",To use excessive resources or effort for a trivial task.,ลงทุนหลายเกินความจำเป็น,B2,"Daily speech, workplace criticism, humor, politics","Colloquial, ironic",Rooted in agrarian Southeast Asian imagery where elephants symbolize power and prestige; historically used across Lao–Isan speech communities.,/kʰìː tɕʰáːŋ càp tàk.kà.tɛ̀ːn/,สิโทรหาคนอยู่บ้านแค่ถามทาง บ่ต้องขี่ช้างจับตั๊กแตนดอก,โครงการนี้ใช้งบหลายโพด คือขี่ช้างจับตั๊กแตนแท้,อย่าเฮ็ดงานแบบขี่ช้างจับตั๊กแตน เดี๋ยวงบบานปลาย
น้ำตาตกใน,"Nominal compound phrase (N + V + Prep), metaphorical fixed expression",To suffer silently without outward expression.,เสียใจแต่บ่แสดงออก,B1,"Family, relationships, literature","Poetic, emotional",Common Tai metaphor where tears falling inward symbolize internalized grief; prevalent in temple sermons and mor lam lyrics.,/náːm.tâː tɔ̀k naj/,เขาถูกตำหนิหน้าเวทีแต่ต้องน้ำตาตกใน,แม่ยอมลำบากคนเดียวแบบน้ำตาตกใน,เบิ่งแล้วคือเขาน้ำตาตกใน บ่เว้าหยังเลย
ตีงูให้หลังหัก,"Imperative clause (V + N + Complement), metaphorical directive structure",To eliminate a problem completely to prevent future danger.,แก้ปัญหาให้เด็ดขาด,B2,"Politics, conflict resolution, strategy","Serious, strategic",Reflects rural survival practices where partial action against threats was dangerous; common in Lao-Isan proverb tradition.,/tiː ŋuː hâj lǎŋ hàk/,เรื่องนี้ต้องตีงูให้หลังหัก อย่าให้เหลือปัญหา,ถ้าสิปราบทุจริตกะต้องตีงูให้หลังหัก,เขาตัดสินใจเด็ดขาดคือการตีงูให้หลังหัก
คันปากอยากเว้า,"Descriptive clause (Adj/N + V + Verb), experiential expression",Feeling an urge to speak or reveal something.,อยากพูดมาก,A2,"Daily conversation, gossip, humor","Colloquial, playful",Body-based metaphor common in Isan speech where physical sensation expresses emotional impulse.,/kʰan pàːk jàːk wêː/,เห็นข่าวแล้วคันปากอยากเว้าแท้,ข้อยคันปากอยากเว้าเรื่องนั้นแต่ต้องอดไว้,เขายืนเงียบแต่เบิ่งแล้วคันปากอยากเว้า
เอาข้าวสารไปแลกข้าวเปลือก,"Serial verb phrase (V + N + V + N), transactional metaphor",To exchange something valuable for something less valuable.,แลกของดีเป็นของด้อยค่า,C1,"Economics, politics, family advice","Advisory, critical",Agrarian rice economy metaphor; polished rice (ข้าวสาร) historically more valuable than paddy (ข้าวเปลือก).,/ʔaw kʰâːw sǎːn paj lɛ̂ːk kʰâːw plɯ̀ak/,ขายที่ดินถูก ๆ คือเอาข้าวสารไปแลกข้าวเปลือก,อย่าเอาโอกาสดีไปแลกงานต่ำ ๆ คือเอาข้าวสารไปแลกข้าวเปลือก,การตัดสินใจนั้นเหมือนเอาข้าวสารไปแลกข้าวเปลือกแท้
ปากว่าตาขยิบ,"Coordinated clause (N + V + N + V), contrastive irony structure",Saying one thing while secretly implying another.,พูดอย่างทำอีกอย่าง,B2,"Politics, sarcasm, workplace","Ironic, sarcastic",Gesture-based idiom tied to non-verbal signaling in village negotiation contexts.,/pàːk wâː taː kʰà.jìp/,นักการเมืองบางคนปากว่าตาขยิบ,เขาปฏิเสธแต่ปากว่าตาขยิบเห็นชัด,อย่าเฮ็ดแบบปากว่าตาขยิบ มันบ่งาม
หัวล้านได้หวี,"Noun phrase (N + V + N), ironic juxtaposition",Receiving something useless or unnecessary.,ได้ของที่บ่จำเป็น,B1,"Humor, daily speech","Humorous, ironic",Visual irony metaphor common in Lao-Isan oral storytelling traditions.,/hǔa lǎːn dâj wǐː/,ให้ร่มหน้าหนาวคือหัวล้านได้หวี,ของขวัญนั้นคือหัวล้านได้หวีแท้,ซื้อโปรแกรมนั้นมาแล้วใช้บ่ได้ คือหัวล้านได้หวี
งู ๆ ปลา ๆ,"Reduplicated nominal phrase, distributive idiomatic construction",Having only superficial or limited knowledge.,รู้แค่นิดหน่อย,A2,"Education, self-description","Casual, modest",Reduplication pattern typical in Tai languages expressing vagueness or approximation.,/ŋuː ŋuː plaː plaː/,ข้อยฮู้เรื่องคอมพิวเตอร์งู ๆ ปลา ๆ,เขาเว้าอังกฤษได้งู ๆ ปลา ๆ,ความฮู้ด้านกฎหมายของข้อยยังงู ๆ ปลา ๆ อยู่
หมาหัวเน่า,"Noun phrase (N + N), metaphorical labeling construction",A scapegoat or someone blamed unfairly.,คนรับผิดแทนผู้อื่น,C1,"Politics, workplace conflict","Harsh, critical",Rural imagery reflecting outcast animals; used historically in village dispute narratives.,/mǎː hǔa nâw/,สุดท้ายเขากลายเป็นหมาหัวเน่าในคดีนั้น,อย่าให้ลูกน้องเป็นหมาหัวเน่าแทนผู้ใหญ่,เขาถูกกล่าวหาแบบหมาหัวเน่าโดยบ่มีหลักฐาน
ตกกระไดพลอยโจน,"Serial verb clause (V + N + V), involuntary action metaphor",Being forced to go along with a situation unintentionally.,จำใจต้องร่วมสถานการณ์,B2,"Daily speech, workplace, politics","Neutral, descriptive",Old household architecture metaphor involving raised wooden stairs common in Lao-Isan homes.,/tòk krà.daj plɔːj dʑoːn/,ข้อยบ่ได้ตั้งใจ แต่ตกกระไดพลอยโจนเข้าประชุม,เขาตกกระไดพลอยโจนรับตำแหน่งนั้น,สถานการณ์บังคับให้เฮาตกกระไดพลอยโจน
