Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mettre la charrue dévant les boeufs,Fixed verbal clause (infinitive construction with object + prepositional phrase),To act prematurely or reverse the natural logical order of actions,Agir trop tôt ou sans suivre l'ordre logique,B1,"Daily speech, workplace planning, family advice","Colloquial, advisory",Agrarian metaphor rooted in Norman farming traditions of Guernesey,/mɛtʁ la ʃaʁy dəvɑ̃ le bøf/,Tu mets la charrue dévant les boeufs en annonçant l'projet avant d'avoir l'budget.,I' met toujours la charrue dévant les boeufs quand i' parle d'ses plans.,Nou n'devons pon mettre la charrue dévant les boeufs dans ch't'affaire.
Aver la téte sus les épaules,Possessive verb phrase with body-part metaphor,To be sensible and level-headed,Être raisonnable et réfléchi,A2,"Family praise, education, mentorship","Neutral, approving",Common Norman metaphor emphasizing practical island wisdom,/avɛʁ la tɛt sy le zepol/,Ch't'enfant a la téte sus les épaules malgré son âge.,I' faut aver la téte sus les épaules pouor gérer une entreprise.,Elle a toujours eu la téte sus les épaules dans les moments difficiles.
Coumme un chat sus d'la braise,Comparative simile introduced by 'coumme',To be extremely restless or anxious,Être très nerveux ou agité,B2,"Humor, daily life, storytelling","Colloquial, vivid",Domestic imagery reflecting rural hearth-centered homes,/kum œ̃ ʃa sy dla bʁɛz/,I' tournait coumme un chat sus d'la braise avant l'examen.,Jé sis coumme un chat sus d'la braise quand j'attends des nouvelles.,Elle semblait coumme un chat sus d'la braise à la réunion.
Aver un coeur d'artichaut,Verbal phrase with metaphorical noun complement,To fall in love easily and frequently,Tomber amoureux très facilement,B1,"Romantic talk, humor, gossip","Playful, ironic",Shared Romance metaphor referencing layered artichoke leaves,/avɛʁ œ̃ kœʁ daʁtiʃo/,I' a un coeur d'artichaut et change d'amour châque sémaine.,On dit qu'elle a un coeur d'artichaut depuis l'école.,Aver un coeur d'artichaut peut compliquer la vie sentimentale.
N'y aver pon d'fumée sans feu,Negative existential construction,Rumors often have some basis in truth,Les rumeurs ont souvent une cause réelle,B2,"Politics, gossip, media commentary","Proverbial, cautionary",Maritime and hearth imagery from island life,/ni avɛʁ pɔ̃ dfyme sɑ̃ fø/,"S'i' y a tant d'paroles, n'y a pon d'fumée sans feu.",Nou savons qu'n'y a pon d'fumée sans feu dans ch't'affaire.,I' répète qu'n'y a pon d'fumée sans feu.
Être à l'ouest d'la carte,Locative metaphorical predicate,To be confused or mentally absent,Être distrait ou confus,B2,"Humor, classroom, casual conversation","Colloquial, humorous",Island geography metaphor referencing maritime navigation,/ɛtʁ a lwɛst dla kaʁt/,I' était à l'ouest d'la carte pendant l'cours.,Jé sis à l'ouest d'la carte asteu après ch'te nuit courte.,Elle semblait à l'ouest d'la carte lors d'la discussion.
Tirer l'diable par la queue,Transitive verb phrase with direct object,To struggle financially,Avoir des difficultés financières,B1,"Economic talk, family, social commentary","Colloquial, realistic",Religious imagery integrated into Norman folk speech,/tiʁe l djab par la kø/,Nou tirons l'diable par la queue depuis la crise.,I' tirait l'diable par la queue avant d'trouver ch'travail.,Tirer l'diable par la queue n'est pon facile.
Aver les deux pieds dans l'même sabot,Possessive metaphorical construction,To be slow or lacking initiative,Manquer de réactivité,B2,"Workplace criticism, humor","Colloquial, mildly critical",Traditional wooden footwear imagery from rural Normandy,/avɛʁ le dø pje dɑ̃ lmɛm sabo/,I' a les deux pieds dans l'même sabot quand i' travaille.,Nou n'pouvons pon aver les deux pieds dans l'même sabot dans ch't'entreprise.,Elle avançait coumme si elle avait les deux pieds dans l'même sabot.
Jeter l'éponge,Transitive verb phrase (sports-derived metaphor),To give up or surrender,Abandonner ou renoncer,A2,"Sports, daily challenges, motivational speech","Neutral, motivational",Borrowed from boxing terminology adopted into Norman speech,/ʒəte lepɔ̃ʒ/,I' n'a pon jeté l'éponge malgré les difficultés.,Ne jetez pon l'éponge trop vite.,Elle a finalement jeté l'éponge après des mois d'effort.
Aver l'sang chaud,Verbal phrase with possessive + adjective complement,To be hot-tempered or impulsive,Être colérique ou impulsif,B1,"Family, politics, humor","Colloquial, descriptive",Temperament description common in Romance dialect heritage,/avɛʁ lsɑ̃ ʃo/,I' a l'sang chaud et réagit sans réfléchir.,"Quand i' discute politique, i' montre qu'i' a l'sang chaud.",Aver l'sang chaud peut causer des disputes inutiles.
