Idiom (Naʼvi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Naʼvi)",First Example Sentence,Second Example Sentence,Third Example Sentence
Eywa ngahu,Fixed devotional clause invoking the deity Eywa; nominal subject + benefactive particle implied,An expression of spiritual reassurance meaning that Eywa protects or guides someone,Eywa will take care of you,B1,"Spiritual conversations, reassurance, family speech, ceremonial contexts","Poetic, reverent, spiritual",Rooted in Omaticaya spiritual practice referencing Eywa as the life‑force connecting all living things,/ˈej.wa ˈŋa.hu/,"Ma eylan, ke tsam. Eywa ngahu.","Oeru txoa new fì'u, srak? Eywa ngahu.","Ngenga lu nìwin, Eywa ngahu."
Fì'u oe ke new,Negative declarative clause; object demonstrative + subject pronoun + negation + verb,Used to say something is impossible or beyond one's ability,I cannot do this,A2,"Daily speech, problem solving, humor, frustration",Colloquial,Common spoken expression across clans when tasks exceed skill or strength,/fɪˈʔu o.e ke new/,"Ma tsmukan, fì'u oe ke new.","Ngati tsun taron nìtxan, fì'u oe ke new.","Oe nì'aw txoa livu, fì'u oe ke new."
Oe tslam nìtxan,Subject pronoun + verb + intensifying adverb,Expresses deep emotional understanding or empathy,I understand deeply,B2,"Advice, emotional conversations, storytelling","Neutral, empathetic",Used in clan storytelling traditions when acknowledging wisdom or shared hardship,/o.e tslam nɪˈtʼan/,Oe tslam nìtxan ngaru.,"Nga spivak nìtxan, oe tslam nìtxan.","Fì'u lu txew, srane, oe tslam nìtxan."
Oeru lu txew nìtxan,Dative pronoun + copular clause + adjective + intensifier,Indicates extreme difficulty or hardship,This is very hard for me,B1,"Workplace, family struggles, learning situations","Serious, reflective",Associated with training rites among Naʼvi youth learning survival skills,/ˈo.e.ɾu lu tʼew nɪˈtʼan/,Oeru lu txew nìtxan fìtrr.,"Fì'u lu txew nìtxan, ma eylan.",Taronit lu txew nìtxan oeru.
Ngenga lu nìwin,Possessive pronoun + copular clause + adjective,Used to compliment someone's skill or excellence,You are truly skilled,A2,"Training, praise, friendly conversation","Positive, respectful",Common in hunter culture acknowledging skill with ikran or hunting tools,/ŋe.ŋa lu nɪˈwin/,Ngenga lu nìwin na'rìngit.,"Oel ngati tse'a, ngenga lu nìwin.","Ma tsmukan, ngenga lu nìwin."
Oe lu oeru ayoe,Subject pronoun + copula + dative pronoun + emotional noun phrase,Expresses affection or emotional closeness,I feel love toward you,A2,"Family speech, romance, close friendships",Affectionate,Often heard during bonding ceremonies or among family members,/o.e lu o.e.ɾu a.jo.e/,Oe lu oeru ayoe ngaru.,"Ngati kameie, oe lu oeru ayoe.","Oe tslam ngaru, oe lu oeru ayoe."
Fìtseng lu fì'u,Demonstrative location + copular clause + demonstrative pronoun,Indicates something is exactly as expected or obvious,This place is exactly as it should be,B2,"Observation, travel, environmental commentary","Neutral, descriptive",Used in clan migrations when evaluating new lands or camps,/fɪ.t͡sɛŋ lu fɪˈʔu/,Fìtseng lu fì'u ma eylan.,"Oe tse'a fìtseng, srane, fìtseng lu fì'u.",Fìtseng lu fì'u nìprrte'.
Oeru ke lu slä,Dative pronoun + negated copular clause + adjective,Used to express worry or concern,I am not calm / I am worried,B1,"Family speech, conflict discussions, personal reflection",Serious,Common expression in clan leadership discussions when danger is suspected,/o.e.ɾu ke lu slæ/,Oeru ke lu slä fìtrr.,Nga tsun taron srak? Oeru ke lu slä.,Oeru ke lu slä ma tsmukan.
Oe lu nìwotx,Subject pronoun + copular clause + descriptive adverb,Means feeling tired or overwhelmed,I feel exhausted,A1,"Daily speech, physical labor, casual conversation",Colloquial,Frequently used after long hunts or travel through the forest canopy,/o.e lu nɪˈwotʼ/,Oe lu nìwotx fìtrr.,"Taronit txoa livu, oe lu nìwotx.",Oe lu nìwotx ma eylan.
Tsap'alute ma Eywa,Ritual imperative phrase directed toward Eywa,A reverent plea for blessing or forgiveness,May Eywa forgive us,C1,"Spiritual rituals, mourning, sacred ceremonies","Formal, sacred",Ancient ritual phrase used by Naʼvi during prayer or before important clan decisions,/t͡sap.ʔaˈlu.te ma ˈej.wa/,"Tsap'alute ma Eywa, oeyä tsmuke.","Ma eylan, tsap'alute ma Eywa.","Oe peyral fì'u, tsap'alute ma Eywa."
