Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Karakalpak)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kózdi ashıp jumǵansha,Turaqlı feyilli frazeologiyalıq birlik; kósemşe túrindegi waqıt-pıstıq konstrukciya.,"Óte tez, demniń arasynda, hesh bir tosqawılsız ótip ketken is-háreketti bildiredi.",Óte tez; birden; qısqa waqıtta.,A2,"Kúndelikli sóylew, awızeki áńgime, balalar tili, ádebiy bayandaw.","Beytral-kollekwial; obrazlı, jeńil.",Kózdi ashıp-jumuw obrazına baylanısqan túrkiy ortaqlıq metafora; waqıttı dene qozǵalısı arqalı ólshew dástúri menen uyqas.,[køzˈdɪ ɑˈʃɯp ʑʊmˈʁɑnʃɑ],"Poyızdı kútip otırǵanımızda, waqıt kózdi ashıp jumǵansha ótıp ketti.",Ol esapti kózdi ashıp jumǵansha sheship tastadı.,Jazǵı demalıs balalar ushın kózdi ashıp jumǵansha ayaqlandı.
Qas qaqqansha,Turaqlı ráwishlik frazeologizm; -ǵansha formasındaǵı waqıt-ólshew konstrukciyası.,Óte qısqa zamanda bolıp ótetuǵın isti yamasa qáwipti tezlikti ańlatadı.,Láhza ishinde; bir sál waqıtta.,A2,"Kúndelikli sóylew, dramatik bayandaw, jańalıq tili, eńbek jarayanları.",Beytral; tezlikti kúsheytetin obrazlı.,Qas qagıw sıyaqlı mayda qozǵalıs arqalı waqıttı beynelew túrkiy frazeologiyasında erte qáliplesken.,[qɑs qɑqˈqɑnʃɑ],"Jel kóterilip, qas qaqqansha aspan qara bulıt penen qaplandı.",Habar elge qas qaqqansha taralıp ketti.,Şeber usta búliniwdi qas qaqqansha jónlep berdi.
Iyt ólgen jer,Atlıq frazeologiyalıq sóz dizbegi; aniqlawshılıq quramalı atama.,"Óte alıs, qatnaw qıyın, shet jaylasqan orın.",Óte alıs jer; shet awıl; qol jetpeytuǵın aymaq.,B1,"Kúndelikli sóylew, sayaxat áńgimeleri, hazil, shikayat, awıl-suwetlew.","Kollekwial; bir az turpayı, biraq keń tarqalǵan.","Kóshpeli hám dala turmısında ortalıqtan uzaq, insansız jaydı kúshli giperbola menen ataw dástúrinen kelip shıqqan.",[ɪjt ølˈɡen ʑer],"Jańa xizmat ornı iyt ólgen jerde eken, kúnde qatnaw óte awır boldy.","Olardıń jayılawı iyt ólgen jerde bolsa da, adamları mehmandos eken.",Internet tartpaytuǵın iyt ólgen jerde seminar ótkiziw oñay emes.
Qoy awzınan shóp almaw,Bolımsız feyilli frazeologizm; metaforalı feyil toparı.,"Óte juwas, zıyanı joq, kimge de qattı sóz aytpaytuǵın adamdı sipattaydı.",Juwas; minayım; zıyansız adam.,B1,"Minez sipatlaw, otbası sóylewi, awızeki áńgime, tärbiyalıq keńes.",Kollekwial-beytral; jılı hám maqtaulı.,Mal sharwashılığı menen baylanıslı obraz; qoy qaraqalpaq madeniyatında juwaslıqtıń tanıs belgisi retinde qabıllanadı.,[qoj ɑwzɯˈnɑn ʃøp ɑlˈmɑw],"Sapar ağa qoy awzınan shóp almaytuǵın adam, biraq iske kelgende jawapker.","Kelinniń minezin kórip, bári onı qoy awzınan shóp almaydı dep maqtadı.","Sınıpta eń tınısh bala sol, qoy awzınan shóp almaytuǵınday kórinedi."
Murtın balta shappaw,Turaqlı bolımsız feyilli frazeologizm; ekinshi komponenti kúshli metaforalı predikat.,"Hesh nársege qıymıldamaytuǵın, saspaytuǵın, óte salmaq yamasa qımıldawsız adamdı bildiradi.",Saspaw; sabırlı bolıw; emotsiyasın bildirmew.,B2,"Minez talqısı, konflikt, siyaset, basqarıw, ádebiyat.",Kollekwial-ironiya; keyde sınlıq boyaǵı bar.,Batırlıq hám turaqlılıqtı fizikálıq asırıw arqalı kórsetetin kóhne dala metaforası; murt erkeklik ramzi retinde de uqıladı.,[mʊrˈtɯn bɑlˈtɑ ʃɑpˈpɑw],"Jıyında bári dawlasa da, basşı murtın balta shappawday sabırlı otırdı.",Bunday qıyın jaǵdayda murtın balta shappaw hár kimniń qolınan kelmeydi.,"Ol sınnan keyin de murtın balta shappay, jumısın jalǵastıra berdi."
Salısı suwǵa ketiw,Feyilli frazeologiyalıq ótlesiw; barıs septegi + feyil arqalı jasalǵan emosional konstrukciya.,"Kóńli túsip qalıw, úmitsizleniw, uwayımǵa beriliw.",Kóńli túsip qalıw; qapalanıw; uwayımlaw.,B2,"Kúndelikli sóylew, imtixan jaǵdayı, otbası, dramaturgiya, psixologiyalıq bayandaw.",Beytral-obrazlı; sezimli.,"Salisıǵa suw ketken nárseniń bosasqanı sıyaqlı, adam ruhınıń túsip qalıwın suw obrazı arqalı ańlatatuǵın kóne metafora.",[sɑlɯˈsɯ suwˈʁɑ keˈtɪw],"Nátiyjeni esitip, studentlerdiń birqatarınıń salısı suwǵa ketti.","Joba qabıl bolmaǵannan keyin, ol bir kúni boyı salısı suwǵa ketip júrdi.","Báreketli sóz aytsań, salısı suwǵa ketken adam da qayta sergip qaladı."
Til menen oraq orıw,Qural-sáykeslikti feyilli frazeologizm; komparativ-emes metaforalı is-háreket modeli.,"Kóp sóylew, maqtanıw, quruq wáde beriw yamasa tilmenen ǵana is bitirgendi kórsetiw.",Kóp sóylew; maqtanıw; quruq wáde beriwi.,B2,"Siyasiy sınaq, jumıs ornı, hazil, kóshilik áńgime, publitsistika.",Ironiyalıq-kollekwial; sınlıq.,Oraq orıw — dehqanshılıq penen baylanıslı qattı miynet. Sol iske tek tilmenen kirisiw mümkin emes degen xalq danalığı idiomǵa negiz bolǵan.,[tɪl meˈnen ɔˈrɑq ɔˈrɯw],"Ol til menen oraq orıwdı jaqsı biledi, biraq ámelde jumısı az.",Saylaw aldında til menen oraq oratınlar kóbeyip ketedi.,"Basşı quruq esabat emes, til menen oraq ormay, naq is natıyjesin kórsetiwdi talap etti."
Eki kózi tórt bolıw,Sanlıq komponentli feyilli frazeologizm; dene múshesi arqalı hiperbolalı konstrukciya.,"Bir adamdı yamasa xabardı asıq bolıp, ulıǵıw menen kútiw.",Asıǵıp kútiw; intizar bolıw.,B1,"Otbası, migraciya, studentlik turmıs, kórkem ádebiyat, xat-habarlasıw.","Jılı, sezimli, beytral.","Kútken adamnıń kózine kúsh túsip, bar diqqatı jolǵa awısuın hiperbola menen beretin xalqıy obraz.",[eˈkɪ køˈzɪ tørt bɔˈlɯw],Anası şet elden kelgen ulın eki kózi tórt bolıp kútip aldı.,Awıldaǵılar jańa dárigerdi eki kózi tórt bolıp kútip júr.,"Men senen xat kelermikin dep, eki kózim tórt bolıp pochtanı qaradım."
Tamırına balta shabıw,Obyekti bar feyilli frazeologizm; barıs septegi at + kúshli metaforalı predikat.,"Bir nárseniń tiykarın buzıw, túbine jetetin zıyan keltiriw, negizin qıyratıw.",Tiykarın buzıw; negizgi zıyan keltiriw; ósimin toqtatıw.,C1,"Ekologiya, siyaset, bilim, tärbiya, publitsistika, analitikalıq jaziw.",Kitabiy-beytral; kúshli ekspressiv.,Aǵash tamırı dala turmısında tirshilik nıshanı. Tamırına balta shabıw obrazi joq etiwdiń eń qattı formasın bildirip kelgen.,[tɑmɯˈrɯnɑ bɑlˈtɑ ʃɑˈbɯw],Suwdı ıssırap etiw aymaq ekonomikasınıń tamırına balta shabıw menen teń.,Ana tilge salqın qaraý milliy sananıń tamırına balta şabadı.,Qısqa payda ushın tabıǵattı qırıw keleşektiń tamırına balta shabıwdır.
"Awzınan aq iyt kirip, qara iyt shıǵıw",Qos komponentli kúshli giperbolalı feyilli frazeologizm; parallel konstrukciya.,"Óte qattı sóginiw, auzına kelgenin aytıw, ashıw menen ár túrli jaman sóz shığarıw.",Óte qattı sóginiw; auzına kelgenin aytıw.,C2,"Konflikt, dramatik diálog, sosial sınaq, awızeki áńgime, kórkem ádebiyat.","Turpayı, ekspressiv, konfliktli.",Aq/qara reń qarama-qarsılığı hám iyt obrazi arqalı ashıwdıń shekten asqan túrin kórsetetin kóne ekspressiv model; túrkiy frazeologiyalarda reń kontrastı kúshli stilistik qural.,[ɑwzɯˈnɑn ɑq ɪjt kɪˈrɪp | qɑˈrɑ ɪjt ʃɯˈʁɯw],"Ashıwı kelgende, ol awzınan aq iyt kirip, qara iyt shıǵıp sóylep ketedi.","Báslikke awzınan aq iyt kirip, qara iyt shıǵıp jawap qaytarıw maseleni onnan beter qıyınlastırdı.","Kóşede daw şıqqanda, birneşe adam awzınan aq iyt kirip, qara iyt shıǵıp urıstı."
