Idiom (Surjapuri),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Surjapuri)",First Example Sentence,Second Example Sentence,Third Example Sentence
कलजा खोवा,Fixed verb phrase; body-part noun object “कलजा” plus verbal noun/infinitive “खोवा”; commonly embedded with light verb “करैछे/होएछे”.,"To irritate, exhaust, or emotionally wear someone down, especially through stubborn or repeated behavior.",बहुत तंग करैछे।,B1,"family scolding, childcare, daily complaints, informal storytelling","colloquial, intimate, mildly annoyed","Rooted in household speech of the Kishanganj-Seemanchal belt, where body-part metaphors express emotional strain.",/kɔldʒa kʰoːʋa/,"ए बाच्चा त दिनभरि कलजा खोवा करैछे, एक बेरो चुप नाइ बसैछे।","परीक्षा नजिक आछे, आ तोर ढिलाई मोर कलजा खोवा करैछे।",बाजारमे ओकर झूठ-साँच सुनिके दुकानदारक कलजा खोवा होए गेल।
एक शीस कौनी गोटा घोरे दौनी,Proverbial fixed clause; numeral phrase plus household-location phrase; elliptical predicate with rhythmic internal contrast.,"A tiny matter is made into excessive noise, fuss, or public display while real work remains small.",काम कम आ हल्ला बेसी करैछे।,C1,"village meetings, workplace criticism, politics, family humor","colloquial, humorous, ironic","Uses the imagery of a small grain causing movement across the whole house, reflecting rural domestic exaggeration humor.",/ek ʃiːs kɔuni ɡoʈa ɡʱore dɔuni/,"काल्हिक बैठकमे रमजान एक शीस कौनी गोटा घोरे दौनी करलक, काम त एको नाइ बढ़लक।",बियाहक तैयारीमे आवाज बेसी आछे; ए त एक शीस कौनी गोटा घोरे दौनी जइसन होए गेल।,रिपोर्ट लिखैसँ पहिले टीम एक शीस कौनी गोटा घोरे दौनी नाइ करूक।
कट्ठेय तोरी ढट्ठेय सोन,"Condensed proverbial nominal clause; crop noun plus value noun; lacks overt finite verb, relying on parallel rural-market imagery.",An early or standing opportunity can be valuable if recognized before others fully see its worth.,मौका जल्दी बुझिके फायदा लेबाक चाही।,C2,"agriculture, bargaining, investment, advice, elder speech","rural, proverbial, advisory",Connected to standing-crop trade and mustard/field valuation practices in agrarian Surjapuri-speaking communities.,/kɔʈʰːej tori ɖʱɔʈʰːej son/,"अब्बू कहलै, कट्ठेय तोरी ढट्ठेय सोन, धान खड़ा रहिते दाम पक्का करि ल।",किसान सभ हाटमे कट्ठेय तोरी ढट्ठेय सोन बुझिके अग्रिम सौदा करलक।,"जे मौका खेतमे आछे, ओकरा टाल नाइ; कट्ठेय तोरी ढट्ठेय सोन याद राख।"
छुवा से बेसी छुवार गू भारी,Comparative proverbial clause; noun phrase plus postposition “से” and comparative “बेसी”; earthy genitive construction “छुवार”.,"The side burden, maintenance, or aftercare becomes harder than the main thing itself.",मुख्य कामसँ बेसी ओकर झंझट भारी आछे।,C1,"family speech, finances, childcare, purchases, sarcastic complaints","colloquial, earthy, mildly vulgar, sarcastic",Draws from child-rearing labor and rural household realism; often used humorously despite its crude imagery.,/tʃʰuʋa se besi tʃʰuʋar ɡu bʱaːri/,"छोट दुकान खोलली, मुदा लाइसेंस, भाड़ा आ हिसाबमे छुवा से बेसी छुवार गू भारी लागल।","फोन सस्ता मिलल, मुदा मरम्मत आ रिचार्जमे छुवा से बेसी छुवार गू भारी होए गेल।","बियाहक बरतन, तंबू, गीत—सभ मिलिके छुवा से बेसी छुवार गू भारी बनल।"
नाती पुस्ले नतीजा भंगाँ फूटा भतीजा,Kinship-based rhyming proverb; paired noun phrases with internal rhyme; elliptical contrast without explicit copula.,"One’s own close kin or trusted people usually matter differently from outsiders, especially in crisis.",अपन लोकक भरोसा अलग होएछे।,C2,"family disputes, inheritance, crisis support, village counsel","proverbial, reflective, culturally loaded","Reflects extended-family social organization in the Surjapuri belt, where kinship categories guide duty, trust, and obligation.",/naːti pusle nətidʒa bʱəŋɡaː pʰuʈa bʱətidʒa/,"संकट पड़ल त बुझायल, नाती पुस्ले नतीजा भंगाँ फूटा भतीजा, अपन घरवाला पहिले दौड़ल।","पंचायतमे बूढ़ा कहलक, नाती पुस्ले नतीजा भंगाँ फूटा भतीजा, खूनक नाता जल्दी छूटै नाइ।","मेला मे हराइ गेल बाच्चाक लेल पूरा परिवार जुटल, नाती पुस्ले नतीजा भंगाँ फूटा भतीजा।"
"बाप बेचै पान, बेटा शाहरुख खान",Bipartite contrastive proverb; finite clause followed by nominal apposition; celebrity-name reference creates comic contrast.,"Someone acts flashy, grand, or superior despite modest means or little achievement.",औकातसँ बेसी ठाठ देखाबैछे।,B2,"youth behavior, fashion, teasing, social media talk, village humor","colloquial, teasing, comic, mildly mocking",Modern Surjapuri humor blending local livelihood imagery with Bollywood celebrity culture.,/baːp betʃɛ paːn beʈa ʃaːɦrux xaːn/,"नवा चश्मा लगाके ओइ एहन अकड़ैछे, जइसे बाप बेचै पान, बेटा शाहरुख खान।","उधारक जूता पहिरिके तस्वीर खिंचाबैछे; गाँवक लोग कहैछे, बाप बेचै पान, बेटा शाहरुख खान।","पढ़ाई छोड़ि केवल ठाठ देखाबै त बाप बेचै पान, बेटा शाहरुख खान कहाबै।"
लंबा गरहोल,Adjectival-nominal idiom; adjective “लंबा” plus culturally marked noun “गरहोल”; used predicatively or as a vocative.,"A very tall, lanky, or awkward-looking person, usually said jokingly rather than formally.",बहुत लंबा आ दुबला आदमी।,A2,"family teasing, village description, children’s humor, casual observation","informal, playful, teasing",A local descriptive expression relying on vivid body-shape comparison common in oral village humor.,/lɔmba ɡərəɦol/,"छोट दरवाजामे शफीकक माथा लागल, दादी हँसिके कहलै, ए लंबा गरहोल धीरे चल।","पुतुल नाचमे ओ लंबा गरहोल जइसन खड़ा रहल, सभ बाच्चा ताकैत रहल।",खेतक आलि पर लंबा गरहोल सन छाया पड़ल त चरवाहा डरि गेल।
"खोचात मूढ़ी नी, फोका बड़का",Elliptical contrastive proverb; locative phrase plus negator “नी”; second phrase intensifies desire/bragging through adjective “बड़का”.,"Having no resources while making large demands, plans, or claims.",रुपैया नाइ आ मांग बहुत बड़का आछे।,B2,"money talk, wedding expenses, buying goods, political promises, family scolding","colloquial, sarcastic, critical",Uses puffed-rice and pocket imagery from everyday rural food culture to mock empty showiness.,/kʰotʃaːt muɽʱi ni pʰoka bəɽka/,"जेब खाली आ माग पाँच थान कपड़ा; ए त खोचात मूढ़ी नी, फोका बड़का।","कमाई शुरू नाइ भेल, मुदा मोटरक सपना; खोचात मूढ़ी नी, फोका बड़का न कर।","भोजक खर्च सुनिके काका कहलै, खोचात मूढ़ी नी, फोका बड़का, पहिले रुपैया जोड़।"
"मुँहमे गुड़, पेटमे छुरी","Parallel locative nominal idiom; body-part locatives joined by contrast; no overt verb, meaning supplied pragmatically.",Someone speaks sweetly while hiding harmful intentions or betrayal.,मीठ बोलैछे मुदा भीतर खराब इरादा राखैछे।,C1,"warnings, politics, friendship, bargaining, family disputes","colloquial, cautionary, ironic",A wider eastern Indo-Aryan style metaphor naturalized in Surjapuri speech through food and body imagery.,/mũɦme ɡuɽ peʈme tʃʰuri/,"ओइ सामने मीठ बोलैछे, मुदा पीछे चाल चलैछे; मुँहमे गुड़, पेटमे छुरी।","मेल-मिलापक बातमे मुँहमे गुड़, पेटमे छुरी वाला लोकसँ बचि रह।","पंचायतमे सभे मुस्कुरायल, मुदा मोइ बुझली जे किछु लोकक मुँहमे गुड़, पेटमे छुरी आछे।"
दू नावमे पाँव राखा,Verbal idiom with numeral noun phrase and locative postposition; infinitival/light-verb construction used with “राखैछे/राखा”.,"To divide loyalty or effort between two incompatible choices, creating risk or indecision.",दूनो दिसा एकसंगे पकड़ैछे।,B1,"career choices, politics, relationships, business decisions, advice","colloquial, advisory, cautionary","Riverine imagery suits the floodplain geography of the Surjapuri-speaking region, where boats are familiar everyday symbols.",/du naːʋme paːʋ raːkʰa/,"तोइ दू नावमे पाँव राखा छोड़, एक काम पकड़ा आ ठीकसँ कर।","चुनावमे ओइ दूनो दलक संग बोलैछे; गाँवक लोग कहैछे, दू नावमे पाँव राखैछे।","पढ़ाई आ कारोबार दूनो चाही त समय बाँट, खाली दू नावमे पाँव राखा न चलै।"
