Idiom (Pomak),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Pomak)",First Example Sentence,Second Example Sentence,Third Example Sentence
Варди си язико зад забите,Imperative clause with reflexive possessive structure,To stay cautious and avoid speaking carelessly,Говори внимателно и не издавай всичко,B1,"Daily speech, family advice, workplace","Colloquial, cautionary",Linked to mountain village traditions where discretion protected families and clans,[ˈvardi si ˈjaziko zat͡s zaˈbite],Майка ми рече да вардим язико зад забите пред чужди люде.,"Ако не вардиш язико зад забите, селото шъ разбере всичко.",Старите хора секога вардеха язико зад забите на мегдано.
Сърце му играе като гайда,Comparative simile with present tense verb,To feel overwhelming joy or excitement,Много се радва,A2,"Celebrations, weddings, storytelling","Poetic, joyful",Inspired by Rhodope musical culture and traditional gaida performances,[ˈsɤrt͡sɛ mu iˈɡrajɛ ˈkato ˈɡajda],"Кога виде внучето си, сърце му играеше като гайда.",На свадбата на Ахмед сърце й играеше като гайда.,"Младите ора играха, а на дедо му сърце играеше като гайда."
Фърля пепел у очите,Transitive verbal phrase,To deceive or manipulate someone,Лъже и заблуждава,B2,"Politics, gossip, social criticism","Ironic, critical",Old metaphor from dusty village roads and market trickery,[ˈfɤrlʲa ˈpɛpɛl u oˈt͡ʃitɛ],Политичарите само фърлят пепел у очите на народа.,Не ми фърляй пепел у очите с празни приказки.,Търговецо фърляше пепел у очите на сиромасите.
Носи вода у решето,Fixed verbal construction,To do something pointless or impossible,Труди се напразно,B1,"Family life, work, humor","Humorous, sarcastic",Derived from rural household imagery and impossible chores,[ˈnɔsi vɔˈda u rɛˈʃɛtɔ],Да спориш с него е като да носиш вода у решето.,"Цел ден работи, ама носи вода у решето.","Учитело рече, че преписването е носене вода у решето."
Очите му станаха на четири,Resultative clause with numeral expression,To become extremely attentive or surprised,Гледа много внимателно,A2,"Daily speech, humor, storytelling",Colloquial,Traditional Balkan exaggeration for heightened awareness,[oˈt͡ʃitɛ mu staˈnaxa na t͡ʃɛˈtiri],"Кога чу тропане нощес, очите му станаха на четири.",Децата гледаха мечката и очите им станаха на четири.,На изпито очите й станаха на четири от страх.
Дума на ветр не дава,Negative declarative clause,A trustworthy person who keeps promises,Държи на думата си,B1,"Family, business, village reputation","Respectful, formal",Strong oral promise traditions in Rhodope communities,[ˈduma na ˈvɛtr nɛ ˈdava],Мустафа е човек що дума на ветр не дава.,Дедо ми дума на ветр не даваше и сите го почитаха.,"Ако рече нещо, знай че дума на ветр не дава."
Ходи кат муха без глава,Comparative motion expression,To behave chaotically without direction,Не знае какво прави,B2,"Workplace, family criticism, humor","Sarcastic, colloquial",Common Balkan folk comparison describing confusion,[ˈxɔdi kat ˈmuxa bɛs ɡlaˈva],Преди пазара сите ходеха кат муха без глава.,Новио работник ходи кат муха без глава по канцеларията.,"Не ходи кат муха без глава, ами помисли малко."
Гори му под нозете,Impersonal metaphorical predicate,To be under intense pressure or urgency,Много бърза или е притеснен,B1,"Politics, exams, business","Neutral, dramatic",Metaphor tied to mountain fires and danger,[ˈɡɔri mu pɔd nɔˈzɛtɛ],На кмето му гори под нозете пред изборите.,Цела вечер му гореше под нозете заради изпито.,"Кога дойде данъко, на сите им гори под нозете."
Яде сол с некого,Transitive idiomatic verb phrase,To share long experience and trust with someone,Познава го много добре,B2,"Friendship, elder speech, literature","Warm, traditional",Salt symbolized survival and loyalty in mountain communities,[ˈjadɛ sɔl s nɛˈkɔɡɔ],С Али сме яли сол от деца.,Само човек що е ял сол с тебе ще те разбере.,Дедите са яли сол заедно по гурбетите.
Държи дяволо за опашката,Fixed metaphorical clause,To live dangerously or take reckless risks,Много рискува,C1,"Storytelling, warnings, politics","Dramatic, folkloric",Reflects Islamic and Balkan folk imagery about temptation and danger,[dɤrˈʒi dʲaˈvɔlɔ za ɔˈpaʃkata],Контрабандистите държат дяволо за опашката.,"Който играе с такива хора, държи дяволо за опашката.","Младите мислят, че е лесно да държат дяволо за опашката."
