Idiom (Breton),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Breton)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mont da gousket gant ar yer,Locution verbale figée (verbe d'action + complément prépositionnel),"Se coucher très tôt, souvent par fatigue ou habitude rurale.",Mont da gousket abred-tre.,A2,"Vie quotidienne, monde rural, humour familial","Colloquial, humorous",Référence aux rythmes agricoles traditionnels où l’on suivait la lumière du jour.,/mõn də ˈɡus.kət ɡãn ˈjɛːr/,"Goude ur sizhun labour start, ez on aet da gousket gant ar yer.",Ma zad a vez o vont da gousket gant ar yer bep noz.,"N'eus ket fest-noz ganin hiziv, mont a rin da gousket gant ar yer."
Kaout ur c'hrampouezh war ar galon,Expression nominale métaphorique (verbe bezañ/kaout + groupe nominal),Ressentir une grande tristesse ou une lourde inquiétude.,Bezañ trist pe nec'het bras.,B2,"Émotions, littérature, confidences personnelles","Poetic, emotional",Image culinaire bretonne associée à une sensation d’oppression.,/ka.ud yr ˈhrãm.pwɛz war ˈɡaː.lõn/,"Pa glevas ar c'heloù fall, e oa ur c'hrampouezh war he galon.",Me a zo gant ur c'hrampouezh war ar galon abaoe dec'h.,N'eo ket aes bezañ laouen pa vez ur c'hrampouezh war ar galon.
Bezañ evel bezañ war varr an avaloù,Comparaison figée introduite par evel,Être dans une situation instable ou précaire.,Bezañ en ur stad dic'hallus pe ansur.,C1,"Politique, économie, débats","Ironic, descriptive",Référence aux pommes entassées instables dans les greniers bretons.,/ˈbeː.zã ˈeː.vəl ˈbeː.zã war var a.naˈva.lo/,Ar gouarnamant a zo evel bezañ war varr an avaloù er mare-mañ.,Ma labour nevez a zo evel bezañ war varr an avaloù.,"Evit ar studierien, ar bloavezh kentañ zo evel bezañ war varr an avaloù."
Lakaat e fri e pep tra,Locution verbale (verbe causatif + complément direct),"Se mêler de tout, être indiscret.",Bezañ re c'houlennus ha bezañ e pep afer.,B1,"Vie sociale, humour, reproche","Colloquial, mildly critical",Image universelle du nez symbolisant la curiosité intrusive.,/laˈkaːd i vri i pep tra/,Ne blij ket din pa laka da fri e pep tra.,Ar plac'h yaouank a laka he fri e pep kaoz.,Gwelloc'h eo chom hep lakaat e fri e pep afer.
Treiñ ar c'hazh war e gein,Locution verbale métaphorique (verbe d'action + COD),Changer complètement d’avis ou de position.,Cheñch mennozh penn-da-benn.,C1,"Politique, discussions animées","Ironic, critical","Image du chat retourné brusquement, symbole d’inconstance.",/ˈtrɛjĩ aʁ ˈhɑːz war i ˈɡɛjn/,Ar c'huzulier en deus troet ar c'hazh war e gein.,Ne droin ket ar c'hazh war ma c'hein ken buan-se.,Treiñ ar c'hazh war e gein a goll fiziañs an dud.
Kaout ar mor en e zaoulagad,Structure nominale possessive,Avoir les larmes aux yeux.,Bezañ tost da ouelañ.,B1,"Émotions, poésie, discours personnel","Poetic, emotional",Métaphore maritime forte dans la culture bretonne.,/ka.ud ar moʁ en i zoˈwlaːɡat/,"Pa oa o selaou ar ganaouenn, en devoa ar mor en e zaoulagad.",He doa ar mor en he daoulagad goude ar c'heloù.,Ar mor en e zaoulagad a ziskouezas e santimantoù gwirion.
Debriñ ar c'hig en e raw,Locution verbale (verbe transitif + complément figé),Agir brutalement ou sans réflexion.,Ober traoù hep preder na sioulder.,C2,"Critique sociale, littérature","Harsh, figurative",Image médiévale associée à la sauvagerie.,/ˈdeːbrĩ aʁ ˈhiːɡ en i raʊ/,Ne vez ket mat debriñ ar c'hig en e raw er politikerezh.,Ar re yaouank a vez o tebriñ ar c'hig en o raw pa vezent kounnaret.,Debriñ ar c'hig en e raw a gas d'ober fazioù.
Bezañ e toull ar c'hleuz,Expression locative figée,Être dans une grande difficulté financière ou morale.,Bezañ en diaester vras.,B2,"Économie, vie quotidienne","Colloquial, serious","Référence aux fossés bretons, symbole d’enfermement.",/ˈbeː.zã i tul ar ˈhløːs/,"Goude bezañ kollet e labour, emañ e toull ar c'hleuz.",Kalz embregerezhioù a zo e toull ar c'hleuz er mare-mañ.,Ne fell ket din bezañ e toull ar c'hleuz gant ma zleadoù.
Kavout an neudenn en toull,Locution verbale proverbiale,Trouver la solution à un problème complexe.,Kavout an diskoulm gwirion.,C1,"Résolution de problème, discussion intellectuelle","Literary, proverbial","Métaphore du fil caché dans un trou, image ancienne artisanale.",/ˈkaːvud an ˈnøːdən en tul/,Ar skiantour en deus kavet an neudenn en toull.,Ne vo ket aes kavout an neudenn en toull hep labour kalonek.,"Pa gavomp an neudenn en toull, e teu an diskoulm da sklêrijenn."
Gant bezañ re gredus e kouezher war e c'hein,Proverbe à structure causale,Trop de confiance mène à l’échec.,Re a fiziañs a zegas droug.,B2,"Conseil moral, éducation, sagesse populaire","Proverbial, cautionary",Sagesse populaire transmise oralement dans les campagnes bretonnes.,/ɡã ˈbeː.zã re ˈɡreːdys ˈkuːe̞hɛr war i ˈɡɛjn/,"Gant bezañ re gredus e kouezher war e c'hein, eme va mamm-gozh.",Ne zisoñj ket: gant bezañ re gredus e kouezher war e c'hein.,Ar proverbe-se a embann sklaer: gant bezañ re gredus e kouezher war e c'hein.
