Idiom (Gujarati),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gujarati)",First Example Sentence,Second Example Sentence,Third Example Sentence
ઢોરને વાંસળી વગાડવી,ફિક્સ્ડ કલોઝ; રૂપકાત્મક ક્રિયા,જ્યાં સમજણ ન હોય ત્યાં સમજાવવા વ્યર્થ પ્રયત્ન કરવો.,અસમજદારને સમજાવવાનો નિષ્ફળ પ્રયત્ન કરવો.,C1,"દૈનિક ભાષા, હાસ્ય, શિક્ષણ","રૂપકાત્મક, હળવો વ્યંગાત્મક",ગ્રામ્ય ગુજરાતમાંથી ઉદ્ભવેલ; પશુપાલન સંદર્ભ.,/ɖʰoɾ ne ʋãsɭi ʋɡaɖʋi/,તેને સમજાવવી એટલે ઢોરને વાંસળી વગાડવી.,એની સાથે ચર્ચા કરવી એ ઢોરને વાંસળી વગાડવા જેવું છે.,"તમે કેટલું કહો, એ તો ઢોરને વાંસળી વગાડવી જેવી વાત છે."
હાથી નીકળ્યા ને પૂંછડી રહી,ફિક્સ્ડ ઉપમાનાત્મક કલોઝ,મોટો ભાગ પૂરો થયો પરંતુ નાનો ભાગ અધૂરો રહ્યો.,કામ લગભગ પૂરૂં થયું પણ અંતિમ ભાગ બાકી રહ્યો.,B2,"કામ, રાજકારણ, વ્યંગ્ય","હાસ્યાત્મક, લોકભાષા",ગુજરાતી લોકોક્તિમાંથી; હાથીના ઉલ્લેખથી વિદ્રોપ.,/hatʰi nikəɭja ne pũtʃʰɖi ɾəɦi/,પ્રોજેક્ટ પૂરો થઈ ગયો પણ રિપોર્ટ બાકી — હાથી નીકળ્યા ને પૂંછડી રહી.,એનું અભ્યાસ પૂરૂં થયું પણ પરીક્ષા બાકી રહી — હાથી નીકળ્યા ને પૂંછડી રહી.,"તેમણે બધું કરી દીધું, હવે નાનું કામ બાકી — હાથી નીકળ્યા ને પૂંછડી રહી."
ચુલા પર તાવડી ગરમ કરવી,રૂપકાત્મક ક્રિયા-પ્રયોગ,અપશુકન સૂચવનાર અસ્થિર પરિસ્થિતિ ઊભી કરવી.,તણાવ કે મુશ્કેલી ઊભી કરવી.,C1,"ઘરેલુ ભાષા, ઉપાલંભ, વ્યંગ્ય","હાસ્યાત્મક, વ્યંગાત્મક",પરંપરાગત રસોડાની પરિસ્થિતિમાંથી ઉત્પન્ન.,/tʃuɭa pəɾ təʋɖi gəɾəm kəɾʋi/,એના આવવાથી તો ચુલા પર તાવડી ગરમ થઈ જાય.,એ ઘર આવે એટલે બધું ગરમાગરમ થઈ જાય — ચુલા પર તાવડી ગરમ કરવી.,"તે બોલે એટલે વાતોમાં ગરમી આવી જાય, જાણે ચુલા પર તાવડી ગરમ કરી હોય."
દૂધનું દૂધ અને પાણીનું પાણી કરવું,સંયુક્ત ક્રિયા; વિધિપ્રયોગ,સત્ય અને અસત્ય વચ્ચે સ્પષ્ટ ફરક કરવો.,ન્યાયપૂર્ણ અને સ્પષ્ટ નિષ્કર્ષ આપવો.,C1,"ન્યાય, ચર્ચા, રાજકારણ","આધિકારીક, ન્યાયાત્મક",પારંપારિક ન્યાયિક કહેવત.,/duːdʰ nuː duːdʰ ənə paːɳi nuː paːɳi kəɾʋuː/,ન્યાયાધીશે દૂધનું દૂધ અને પાણીનું પાણી કરી દીધું.,તેના નિર્ણયથી સત્ય બહાર આવ્યું — દૂધનું દૂધ અને પાણીનું પાણી થયું.,અમે આ બાબતમાં દૂધનું દૂધ અને પાણીનું પાણી કરીશું.
માખી ન ઉડાડવી,નકારાત્મક સ્થિર વાક્ય,કામમાં કોઈ રસ ન લેવું અથવા અતિ આળસ કરવી.,કામ વગર બેસી રહેવું.,A2,"દૈનિક ભાષા, પરિવાર, મિત્રતા","હાસ્યાત્મક, બોલચાલની",ગ્રામ્ય ભાષામાંથી ઉત્પન્ન; આળસની ઉપમા.,/maːkʰi nə uɖaːɖʋi/,તે આખો દિવસ માખી ન ઉડાડે.,તને કામ આપ્યું છતાં માખી ન ઉડાડી.,એટલો આળસુ કે માખી પણ ન ઉડાડે.
એક તીરથી બે નિશાન,રૂપકાત્મક ઉપમા,એક કાર્યથી બે લાભ મેળવો.,એક પ્રયાસથી બે ફાયદા મેળવવા.,B1,"દૈનિક જીવન, રાજકારણ, કાર્યસ્થળ","હળવી, લોકપ્રિય",શિકારની ઉપમાથી ઉત્પન્ન કહેવત.,/eːk tiːɾtʰiː be niʃaːn/,આ પગલાથી અમે એક તીરથી બે નિશાન લગાવ્યા.,તેની યોજના એક તીરથી બે નિશાન જેવી હતી.,એ વાત કરી એટલે એક તીરથી બે નિશાન થઈ ગયા.
પાછળથી ઘા મારવો,ક્રિયા-પ્રયોગ; રૂપકાત્મક,વિશ્વાસઘાત કરવો અથવા દગો આપવો.,વિશ્વાસ તોડવો.,B2,"સામાજિક, રાજકીય, વ્યક્તિગત સંબંધો","નકારાત્મક, ગંભીર",યુદ્ધ અને દગાની ઉપમા.,/paːtʃʰəɭtʰi ɡʱaː maːɾʋo/,તે મિત્રે પાછળથી ઘા માર્યો.,મને વિશ્વાસ ન હતો કે એ પાછળથી ઘા મારશે.,પાછળથી ઘા મારનારને લોકો ક્યારેય ભુલતા નથી.
હાથ કંગનને આરસી શું?,"પ્રશ્નાત્મક વાક્ય, વિદ્રોપાત્મક",જોતાં જ સાબિત થતું હોય તેવું કંઈ.,જોયે એટલે સ્પષ્ટ થઈ જાય એવું.,C1,"દૈનિક ભાષા, વાદ-વિવાદ, તર્ક","રૂપકાત્મક, વિદ્રોપાત્મક",પરંપરાગત કવિતામાંથી ઉપજેલ કહેવત.,/haːtʰ kəŋgən ne aːɾsi ʃuː/,આ બાબતમાં તો હાથ કંગનને આરસી શું!,પ્રમાણ સ્પષ્ટ છે — હાથ કંગનને આરસી શું!,"જોયે એટલે સમજાય, હાથ કંગનને આરસી શું!"
પાણીમાં માછલી પકડવી,રૂપકાત્મક ક્રિયા,કઠિન પરિસ્થિતિમાં લાભ મેળવવાનો પ્રયાસ કરવો.,મુશ્કેલ પરિસ્થિતિમાં તક શોધવી.,C2,"રાજકારણ, વ્યવસાય, ઉપાલંભ","વ્યંગાત્મક, રાજકીય",પ્રાચીન વેપાર અને માછીમારી પ્રથામાંથી ઉત્પન્ન.,/paːɳi maː maːtʃʰli pəkəɖʋi/,તેમણે આ તંગ સમયમાં પાણીમાં માછલી પકડી.,એ માણસ મુશ્કેલીમાં પણ ફાયદો લઈ લે છે — પાણીમાં માછલી પકડવી.,આ બધું તો પાણીમાં માછલી પકડવા જેવું કામ છે.
માથે હાથ મૂકવો,સ્થિર ક્રિયા-પ્રયોગ,વિચલિત થવું અથવા મુશ્કેલીમાં પડવું.,ચિંતા અથવા તકલીફમાં પડવું.,B1,"દૈનિક ભાષા, હાસ્ય, પરિવાર","હાસ્યાત્મક, દૈનિક",પ્રાચીન નાટ્યક સંદર્ભ.,/maːtʰe haːtʰ mukʰʋo/,તેની વાત સાંભળી બધાએ માથે હાથ મૂક્યો.,બાળકે પરીક્ષામાં કરેલું કામ જોઈને શિક્ષકે માથે હાથ મૂક્યો.,આટલું અણધાર્યું થયું કે બધાએ માથે હાથ મૂક્યો.
