Idiom (Matsu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Matsu)",First Example Sentence,Second Example Sentence,Third Example Sentence
船到灘頭會直,Fixed proverbial clause,Things will eventually work out when the critical moment arrives,事情最後會找到解決辦法,B1,"daily speech, family, encouragement","colloquial, reassuring",Derived from seafaring life in the Matsu islands,/tsuɔŋ˨˩ tau˥ taŋ˨˩ tʰeu˨˩ oi˥ tʂik˥/,伊這擺雖然無工做，毋免驚，船到灘頭會直。,咱先共這件事做好，後尾船到灘頭會直。,阿媽常講船到灘頭會直，叫儂著定定來。
食鹹魚著忍焦,Imperative proverb with modal verb,"If you choose a difficult path, you must endure the consequences",既然做了選擇，就要承擔後果,B2,"workplace, humor, politics","ironic, colloquial",Linked to preserved salted fish culture in coastal villages,/sieʔ˨˩ haŋ˨˩ ŋy˨˩ tɔ˥ niŋ˨˩ tsiau˥/,儂欲賺大錢，食鹹魚著忍焦。,伊自家愛開店，這下辛苦嘛是食鹹魚著忍焦。,做兵真操，毋過食鹹魚著忍焦。
一粒米養百樣人,Quantified metaphorical clause,Different people have vastly different personalities and needs,每個人都有不同個性,B1,"family, education, social commentary","reflective, proverbial",Traditional agrarian worldview tied to rice economy,/it˥ liɛʔ˨˩ mi˧ iɔŋ˨˩ paʔ˥ iɔŋ˨˩ niŋ˨˩/,班裡學生真難教，一粒米養百樣人。,做生理愛知影一粒米養百樣人。,阿依講做人著包容，因為一粒米養百樣人。
嘴講無，心肝有,Parallel contrast structure,Someone verbally denies something while secretly caring,嘴上否認但心裡在意,B2,"relationships, humor, gossip","playful, ironic",Common interpersonal teasing expression,/tsui˨˩ kɔŋ˧ mo˨˩ siŋ˥ kuaŋ˥ iu˨˩/,伊看著若消息講無興趣，其實是嘴講無，心肝有。,阿兄嘴講無，心肝有，暗中攏有幫忙。,儂毋通信伊嘴講無，心肝有啦。
天光才講天光話,Temporal repetitive clause,People adapt their speech according to the situation,看情況說話,C1,"politics, negotiation, workplace","strategic, ironic",Associated with village diplomacy and local governance,/tʰiŋ˥ kɔŋ˥ tsʰai˨˩ kɔŋ˨˩ tʰiŋ˥ kɔŋ˥ ue˨˩/,伊做人真滑，天光才講天光話。,做生意的人著曉得天光才講天光話。,選舉時節，逐家攏會天光才講天光話。
驚死毋驚窮,Antithetical fixed phrase,People fear death more than poverty,人最怕失去生命,A2,"daily speech, hardship, folk wisdom","plain, rustic",Reflects hardship mentality of fishing communities,/kiaŋ˥ si˥ m̩˨˩ kiaŋ˥ kʰuŋ˨˩/,阿伯講驚死毋驚窮，健康上要緊。,做風颱天出海的人，攏知驚死毋驚窮。,儂毋免為著省錢傷身體，驚死毋驚窮。
有嘴講別人，無嘴講家己,Parallel ironic construction,People criticize others but ignore their own faults,只會批評別人，不反省自己,B2,"family disputes, satire, politics","sarcastic, critical",Common in oral storytelling and dispute mediation,/iu˨˩ tsui˨˩ kɔŋ˨˩ pieʔ˨˩ niŋ˨˩ mo˨˩ tsui˨˩ kɔŋ˨˩ ka˥ ki˧/,伊逐工嫌別人，有嘴講別人，無嘴講家己。,阿叔講政治的時陣，常常有嘴講別人，無嘴講家己。,做人毋通有嘴講別人，無嘴講家己。
水清無魚,Elliptical metaphorical proverb,Overly strict conditions leave no room for flexibility,太過苛求反而沒有成果,C1,"management, philosophy, education","literary, reflective",Widely shared Sinitic proverb localized in Matsu speech,/sui˨˩ tsʰiŋ˥ mo˨˩ hy˨˩/,頭家管甲傷細，真正是水清無魚。,若要求逐項攏完美，最後會水清無魚。,先生教課真硬，學生講伊是水清無魚。
烏雲遮月,Imagistic nominal metaphor,Temporary hardship or sadness obscuring hope,暫時陷入困難或低潮,B2,"literature, emotional speech, poetry","poetic, melancholic",Inspired by island nightscapes and monsoon weather,/u˥ yn˨˩ tsia˥ ŋyɛʔ˨˩/,這站生理歹做，親像烏雲遮月。,伊失戀了後，心情若烏雲遮月。,阿媽講人生有時嘛會烏雲遮月。
海水有時嘛會退,Extended metaphorical statement,Even powerful forces eventually weaken or retreat,再強的人也會有低潮,C2,"leadership, philosophy, historical reflection","philosophical, literary",Derived from observation of tidal life in Matsu harbors,/hai˨˩ sui˨˩ iu˨˩ si˨˩ ma˨˩ oi˨˩ tʰe˥/,伊少年真風光，這下海水有時嘛會退。,做官的人毋通太驕傲，海水有時嘛會退。,阿公講做人著謙虛，因為海水有時嘛會退。
