Idiom,Syntactic_Structure_Grammatical_Form,Figurative_Meaning,Non_Idiomatic_Equivalent,CEFR_Level,Usage_Contexts,Register_Tone,Cultural_Origin_Historical_Reference,IPA_Phonetic_Transcription,First Example Sentence,Second Example Sentence,Third Example Sentence
Aç ayu oynamaz,"Fixed nominal clause (subject + negative verb), proverb structure",A person cannot function or perform well without basic needs being met,İnsan ihtiyacları qarşılanmayınca çalışamaz,B1,"Daily speech, family advice, workplace humor","Colloquial, proverbial",Traditional Turkic proverb widespread in Crimean Tatar oral culture,[ɑtʃ ɑju ojnɑmɑz],"Aç ayu oynamaz, evvel yemek yiy de soñra işke başla.","Balalarğa aytam: aç ayu oynamaz, sabah aşsız çıqmañız.","Ol bütün gün aç qaldı, amma aç ayu oynamaz dep şikâyet etti."
Körpege qarap ayağını uzat,Imperative clause with object + verb structure,Live according to your means,Masrafnı imkânına göre yap,B2,"Financial advice, politics, family discussions","Advisory, proverbial",Nomadic and domestic imagery tied to traditional Crimean households,[kørpeɡe qɑrɑp ɑjɑʁɯnɯ uzɑt],"Körpege qarap ayağını uzat, artıq borç alma.",Biz ev alırıq amma körpege qarap ayağımıznı uzatamız.,"Ol lüks yaşamaq istedi, amma dostları körpege qarap ayağını uzat dedi."
Damlaya damlaya göl olur,Reduplicated adverbial construction + copular clause,Small consistent efforts accumulate into large results,Küçük şeyler zamanla büyüy,B1,"Education, motivation, literature","Proverbial, poetic",Water imagery common in Turkic steppe folklore,[dɑmlɑjɑ dɑmlɑjɑ ɟøl oɫur],"Damlaya damlaya göl olur, her gün biraz oqu.","Biz az az para topladıq, damlaya damlaya göl oldu.","Ol sabırnen çalıştı, çünki damlaya damlaya göl olur."
"Söz gümüşse, sukut altındır",Conditional comparative proverb structure,Silence can be more valuable than speech,Bazı vaqıtta susmaq daha faydalıdır,C1,"Literature, politics, formal speech","Literary, reflective",Influenced by Ottoman literary tradition,[søz ɟymyʃse suˈkut ɑltɯndɯr],"Söz gümüşse, sukut altındır, boşuna tartışma.","Toplantıda söz gümüşse, sukut altındır dep sessiz qaldı.","Atası ona nasihat berdi: söz gümüşse, sukut altındır."
Dost kara künde belli olur,Temporal clause with predicate nominal structure,True friends reveal themselves in difficult times,Gerçek dost zor zamanda biline,B2,"Family, social life, storytelling","Proverbial, emotional",Common across Crimean Tatar communal solidarity traditions,[dost qɑrɑ kynˈde belˈli oɫur],"Menim dostum ağır vaqıtta yardım etti, dost kara künde belli olur.",Hastalıqta dost kara künde belli olur dep añladım.,"Ol baý bolğanda çoq dostu bar edi, amma dost kara künde belli olur."
İki qarpıznı bir qolğa sıymaz,Negative ability construction with object marking,You cannot handle two major tasks at once,Bir vaqıtta iki işi yapamazsıñ,B1,"Workplace, humor, daily advice","Colloquial, humorous",Agricultural metaphor rooted in Crimean farming life,[iki qɑrpɯznɯ bir qoɫʁɑ sɯjmɑz],"İki qarpıznı bir qolğa sıymaz, birini seç.","Ol hem iş hem tahsil yapmaq istedi, amma iki qarpıznı bir qolğa sıymaz.",Men de añladım ki iki qarpıznı bir qolğa sıymaz.
Yel ekken fırtına biçer,Causative-result clause with agricultural metaphor,Those who cause trouble will face consequences,Kötülük yapan cezasını alır,C2,"Politics, moral discourse, journalism","Ironic, warning tone",Steppe wind imagery common in Crimean Tatar oral epics,[jel ekˈken fɯrˈtɯnɑ bitʃer],"Ol yalan yaydı, amma yel ekken fırtına biçer.",Siyasette yel ekken fırtına biçer dep uyardılar.,"Kim fesat çıqarsa, yel ekken fırtına biçer."
Erte turgan yol alır,Participial clause + verb phrase,Those who act early gain advantage,Erken davranan ilerler,A2,"Daily life, motivation, education","Proverbial, motivational",Nomadic travel culture reference,[erte turˈʁɑn jol ɑˈlɯr],"Erte turgan yol alır, sabah erkenden çıq.",Talebelerge aytam: erte turgan yol alır.,"Ol projeni tez başladı, çünki erte turgan yol alır."
Atalar sözi altın sözdir,Possessive nominal construction + copular predicate,Ancestors’ words are precious wisdom,Büyüklerniñ nasihati qıymetlidir,B2,"Literature, family, cultural discourse","Literary, respectful",Rooted in Crimean Tatar oral proverb tradition,[ɑtɑlɑr søˈzi ɑltɯn søzˈdir],"Atalar sözi altın sözdir, onı unutma.",Biz tarihni öğrenemiz çünki atalar sözi altın sözdir.,Babam sık sık ayta: atalar sözi altın sözdir.
Sabrın sonu selâmettir,Genitive construction + predicate nominal clause,Patience leads to safety or success,Sabırlı olursañ yaxşı netice alırsıñ,B1,"Family advice, religion, literature","Proverbial, spiritual",Islamic ethical influence in Crimean Tatar culture,[sɑbˈrɯn soˈnu selæˈmettir],"Sabrın sonu selâmettir, acele etme.","Ol uzun müddet bekledi, sabrın sonu selâmettir dep inandı.",Anam meni teselli etti: sabrın sonu selâmettir.
