Idiom (Edo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Edo)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Ùhúnmwùn erù, ọ̀nà ghá kpá",Complex conditional clause; nominal subject + future auxiliary 'ghá' + verb phrase,Fear prevents progress or success,"Ìrù má zẹ̀ ẹ̀, ó má gha dé ìkpá.",B2,"Motivation, leadership, youth mentoring, politics","Proverbial, advisory, formal",Common Benin court-style advisory proverb emphasizing bravery in communal advancement,/ùhũ̀mwũ̀ èrù | ɔ̀nà ɣá kpá/,"Wẹ́ má gha sẹ̀, ùhúnmwùn erù, ọ̀nà ghá kpá.","Òré, yá ẹ̀ sẹ̀; ùhúnmwùn erù, ọ̀nà ghá kpá.","Nà ìgbìnmwìn nà, ùhúnmwùn erù, ọ̀nà ghá kpá."
Obọ̀ ghá fi ẹ̀rù ré ogba,Future construction; subject + auxiliary 'ghá' + serial verb phrase,One cannot hide wrongdoing forever,Ẹ̀rù rẹ̀ gha yé vbe ẹ̀kà.,C1,"Justice discourse, family correction, moral teaching","Moralizing, proverbial",Agrarian imagery referencing farms (ogba) where concealment is impossible,/òbɔ̀ ɣá fí ɛ̀rù ré òɡbà/,"Wẹ́ gha mọ̀, obọ̀ ghá fi ẹ̀rù ré ogba.",Àgbà rọ̀ wẹ́ pé obọ̀ ghá fi ẹ̀rù ré ogba.,"Obọ̀ ghá fi ẹ̀rù ré ogba, ó gha yé."
Ọ̀rọ̀ ghá yá okpa,Nominal subject + future auxiliary + transitive verb; metaphorical object,Words can cause division,Ọ̀rọ̀ má gha kpá ènìyàn kpẹ̀.,B1,"Conflict mediation, politics, workplace","Advisory, cautionary",Refers to splitting bean cake (okpa) symbolizing division,/ɔ̀rɔ̀ ɣá já òkpà/,Má yé ọ̀rọ̀ rhie; ọ̀rọ̀ ghá yá okpa.,"Vbe meeting nà, ọ̀rọ̀ ghá yá okpa.",Àgbà gha rọ̀ pé ọ̀rọ̀ ghá yá okpa.
Ọmọ̀ má ghá mọ̀ ọ̀nà kó má bọ̀ ìhó,Negative conditional construction with subjunctive nuance,Inexperience leads to mistakes,Ọmọ̀ má gha dé ẹ̀rù nà nà.,A2,"Parenting, education, mentoring","Didactic, traditional",Traditional teaching proverb about child development,/ɔ̀mɔ̀ má ɣá mọ̀ ɔ̀nà kò má bɔ̀ ìhó/,Má kpá ọmọ̀ nà; ọmọ̀ má ghá mọ̀ ọ̀nà kó má bọ̀ ìhó.,Àgbà yé pé ọmọ̀ má ghá mọ̀ ọ̀nà kó má bọ̀ ìhó.,"Vbe ilé nà, ọmọ̀ má ghá mọ̀ ọ̀nà kó má bọ̀ ìhó."
Èkpètin ghá kpá èkhoe,Simple future clause; metaphorical subject-object structure,Greed destroys relationships,Ìgbìnmwìn má gha kpá òré.,C1,"Business, inheritance disputes, family meetings","Serious, moral",Refers to excessive grabbing (èkpètin) disrupting harmony,/ɛ̀kpètĩ̀ ɣá kpá ɛ̀kʰòe/,Wẹ́ má gha kpá owó rhie; èkpètin ghá kpá èkhoe.,Èkpètin ghá kpá èkhoe vbe ilé nà.,Àgbà gha rọ̀ pé èkpètin ghá kpá èkhoe.
Ọ̀nà má ghá zẹ̀ sẹ̀sẹ̀,Negative future declarative clause,Success does not come easily,Ìkpá gha yé pẹ̀.,B2,"Entrepreneurship, exams, sports","Encouraging, realistic",Reflects Edo value of perseverance,/ɔ̀nà má ɣá zẹ̀ sẹ̀sẹ̀/,Yá ẹ̀ sẹ̀; ọ̀nà má ghá zẹ̀ sẹ̀sẹ̀.,"Vbe school nà, ọ̀nà má ghá zẹ̀ sẹ̀sẹ̀.","Ọ̀nà má ghá zẹ̀ sẹ̀sẹ̀, ṣùgbọ́n yá ẹ̀."
Ọ̀kpọ̀ ghá yé vbe ẹ̀kà,Future intransitive clause with locative phrase,Truth will eventually come out,Ìtẹ́ gha yé.,B1,"Family disputes, politics, investigations","Assertive, moral",Common courtroom-style expression,/ɔ̀kpɔ̀ ɣá jé vbe ɛ̀kà/,Má gha sẹ̀; ọ̀kpọ̀ ghá yé vbe ẹ̀kà.,Ọ̀kpọ̀ ghá yé vbe ẹ̀kà rhie.,Àgbà rọ̀ pé ọ̀kpọ̀ ghá yé vbe ẹ̀kà.
Èrù má ghá kpá ogbè,Negative future clause; metaphorical subject,Fear does not build wealth,Ìrù má gha kpá owó.,B2,"Entrepreneurship, youth motivation","Motivational, proverbial",Commercial metaphor referencing market days (ogbè),/ɛ̀rù má ɣá kpá òɡbɛ̀/,Yá ẹ̀ sẹ̀; èrù má ghá kpá ogbè.,Èrù má ghá kpá ogbè vbe ògió.,Àgbà gha rọ̀ pé èrù má ghá kpá ogbè.
Ọ̀rọ̀ má ghá kpá àgbà,Negative future clause; metaphorical verb phrase,Harsh words do not defeat wisdom,Ọ̀rọ̀ rẹ̀ má gha kpá ènìyàn tí ó yé.,C2,"Debates, leadership discourse, elder councils","Authoritative, philosophical",Council-of-elders rhetorical expression,/ɔ̀rɔ̀ má ɣá kpá àɡbà/,Wẹ́ má gha fi ọ̀rọ̀ kpá mí; ọ̀rọ̀ má ghá kpá àgbà.,"Vbe palace nà, ọ̀rọ̀ má ghá kpá àgbà.","Ọ̀rọ̀ má ghá kpá àgbà, àgbà gha rọ̀."
"Èrhàn ghá wé, àmẹn ghá yé",Parallel future clause construction; coordinated metaphor,Actions have visible consequences,Ìhìn rẹ̀ gha yé.,B2,"Moral lessons, storytelling, literature","Poetic, proverbial",Oral storytelling tradition emphasizing accountability,/ɛ̀rhàn ɣá wè | àmɛ̀n ɣá jé/,"Wẹ́ gha mọ̀, èrhàn ghá wé, àmẹn ghá yé.","Èrhàn ghá wé, àmẹn ghá yé vbe ìlú nà.","Àgbà gha sẹ̀ pé èrhàn ghá wé, àmẹn ghá yé."
