Idiom (Tulu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tulu)",First Example Sentence,Second Example Sentence,Third Example Sentence
kannu muchchi naḍepuni,verbal idiomatic clause (imperative + action verb),to act blindly without thinking or questioning,alochane mālpade kelasa mālpuni,B2,"daily speech, criticism, advice","colloquial, cautionary",common expression in coastal Karnataka referring to blind trust,/kannu mutʃtʃi naɖepuni/,avanu ellara maata keḷdāne kannu muchchi naḍepuni.,"nīr kannu muchchi naḍepanda, swalpa yochane mālpuni.",company decision-d kelavaru kannu muchchi naḍepund.
bāyi tumba māta,noun phrase idiom,someone who talks excessively or boastfully,bāri mātaḍuva vyakti,B1,"daily speech, humor","colloquial, humorous",used widely in Tulu households to describe talkative people,/baːji tumba maːta/,avanu bāyi tumba māta āndu ellaru helpuver.,meeting-d bāyi tumba māta mālpade kelasa mālpuni.,bāyi tumba māta āndu avana mele ellaru naguver.
kai bidda dāri,noun phrase metaphor,a situation that has gone out of control,niyantraṇa tappina paristhiti,C1,"politics, workplace, analysis","semi-formal, metaphorical",derived from imagery of losing grip while walking steep coastal paths,/kai bidːa daːri/,project ippe kai bidda dāri pōyitu.,avar management illade kelasa kai bidda dāri āyitu.,samaya-d sari mālpande kelasa kai bidda dāri āndu.
mūḍe bisi āpini,verbal idiomatic phrase,to become suddenly angry,tivra koppa barpini,B2,"daily speech, family conversations","colloquial, expressive",linked with food metaphor where heat represents anger,/muːɖe bisi aːpini/,chinna vishaya-d avanu mūḍe bisi āyini.,teacher helida takkaḷa avanu mūḍe bisi āndu.,ninna maata keḷdāne avaru mūḍe bisi āpini.
manasu neer āpini,verbal idiom,to feel emotional or deeply moved,bhāvanātmaka āgi duḥkha athava karuṇa anubhavapini,B2,"literature, storytelling, emotional speech","poetic, reflective",frequent in coastal devotional songs and storytelling,/manasu niːr aːpini/,aa kathe keḷdāne yān manasu neer āyini.,avara kashta nōdāne ellara manasu neer āpundu.,cinema scene-d janara manasu neer āndu.
tale erpini,verbal idiom,to become arrogant or overly proud,ati ahankāra mālpini,B1,"social commentary, humor",colloquial,metaphor referencing the head rising with pride,/tale erpini/,gelpu banda takkaḷa avanu tale erpini.,duddu banda takkaḷa kelavaru tale erpund.,tale erpade namrata irpini bāri mukhya.
kivi muchchi kuppuni,verbal idiom,to deliberately ignore something,uddēshapoorvaka ignore mālpini,B2,"family, workplace",colloquial,image of sitting with ears closed to avoid hearing,/kivi mutʃtʃi kuppuni/,avanu samasya bagge kivi muchchi kuppini.,boss helida maata-ge kivi muchchi kuppanda.,sathya keḷpanda kelavaru kivi muchchi kuppuver.
duddu nōdāne kannu belpini,verbal idiom,to become greedy when seeing money,lobha tōruni,B2,"humor, criticism, politics","colloquial, sarcastic",reflects folk attitudes toward greed,/dudːu noːdaːne kannu belpini/,kelavaru duddu nōdāne kannu belpund.,contract bandāne avana kannu belpini.,duddu nōdāne kannu belpanda nīti pālisuni.
dāri tappini,verb phrase idiom,to go morally or socially astray,sari dāri bittu tappu mārgad pōpini,B1,"family advice, social criticism","neutral, advisory",commonly used in parental guidance contexts,/daːri tappini/,chikka vayassu-d kelavaru dāri tappuver.,snehitar prabhāva-d avanu dāri tappini.,samaya-d sari maargadarshana illade dāri tappundu.
uppu neer āpini,metaphorical verb phrase,to waste effort or resources uselessly,prayatna vyartha āpini,C1,"workplace, analysis, literature",metaphorical,derived from coastal life where salt water symbolizes unusable water,/uppu niːr aːpini/,yojane sari illade duddu uppu neer āyitu.,plan illade kelasa mālpini uppu neer āpini.,samaya vyartha mālpade uppu neer āpanda.
